@relation mattPattern4-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]'}
@attribute ' Counter' numeric
@attribute Name {Matt}

@data
-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,684,229,0,0,0.4,0.003922,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,Matt
-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,-2.066193,6.823471,6.749252,684,229,0,0,0.4,0.003922,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,Matt
-1.534683,6.363785,7.261612,-1.534683,6.363785,7.261612,-1.534683,6.363785,7.261612,-1.534683,6.363785,7.261612,-1.534683,6.363785,7.261612,-1.534683,6.363785,7.261612,682.45233,558.10516,-792.3901,4591.456,0.75,0.023529,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,Matt
-1.338348,6.042954,7.668625,-1.338348,6.042954,7.668625,-1.338348,6.042954,7.668625,0.310593,0.181458,0.234528,0.310593,0.181458,0.234528,0.310593,0.181458,0.234528,399.75864,1143.8754,-1659.2368,1739.2292,0.75,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,Matt
-3.004715,7.13472,6.193787,-3.004715,7.13472,6.193787,-3.004715,7.13472,6.193787,-3.004715,7.13472,6.193787,-3.004715,7.13472,6.193787,-3.004715,7.13472,6.193787,210,829.46533,122.05182,-3633.936,0.75,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',0,Matt
-2.645584,6.708542,6.528976,-2.645584,6.708542,6.528976,-2.645584,6.708542,6.528976,0.331985,0.231781,0.245087,0.331985,0.231781,0.245087,0.331985,0.231781,0.245087,213,630,0,0,0.45,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,Matt
-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,668,287,0,0,0.675,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,Matt
-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,-2.310394,6.871353,6.749252,668,287,0,0,0.675,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,Matt
-1.951263,6.79953,6.821075,-1.951263,6.79953,6.821075,-1.951263,6.79953,6.821075,-1.951263,6.79953,6.821075,-1.951263,6.79953,6.821075,-1.951263,6.79953,6.821075,668.4415,549.81885,-262.4763,3678.581,0.675,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,Matt
-1.87944,6.339844,6.859375,-1.87944,6.339844,6.859375,-1.87944,6.339844,6.859375,-1.87944,6.339844,6.859375,-1.87944,6.339844,6.859375,-1.87944,6.339844,6.859375,404.63846,1156.2551,-2201.1047,2421.3943,0.675,0.011765,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',1,Matt
