@relation mattPattern3-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {C}

@data
-0.81163,6.416458,7.63031,-0.81163,6.416458,7.63031,0.56459,0.47084,-0.047928,0.56459,0.47084,-0.047928,0.56459,0.47084,-0.047928,0.56459,0.47084,-0.047928,263,800,0,0,0.4125,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0,Matt,C
-0.81163,6.416458,7.63031,-0.81163,6.416458,7.63031,0.56459,0.47084,-0.047928,0.56459,0.47084,-0.047928,0.56459,0.47084,-0.047928,0.56459,0.47084,-0.047928,263,800,0,0,0.4125,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0,Matt,C
-1.357498,6.79953,7.323853,7.302856,-4.59137,-11.741638,7.302856,-4.59137,-11.741638,7.302856,-4.59137,-11.741638,7.302856,-4.59137,-11.741638,7.302856,-4.59137,-11.741638,548.7281,764.60425,6779.6074,-452.55283,0.8375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0,Matt,C
-0.596146,6.603195,6.801926,-0.596146,6.603195,6.801926,-0.596146,6.603195,6.801926,-0.596146,6.603195,6.801926,-0.596146,6.603195,6.801926,-0.596146,6.603195,6.801926,1049.6294,727.2854,2148.3467,-648.46234,0.8375,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0,Matt,C
-2.138016,7.173019,6.567291,-2.138016,7.173019,6.567291,0.155533,-0.006393,0.006393,0.155533,-0.006393,0.006393,0.155533,-0.006393,0.006393,0.155533,-0.006393,0.006393,1245.1627,393.177,1077.2275,-2800.6616,0.8375,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0,Matt,C
-1.802826,7.086823,6.509827,-1.802826,7.086823,6.509827,-1.802826,7.086823,6.509827,-1.802826,7.086823,6.509827,-1.802826,7.086823,6.509827,-1.802826,7.086823,6.509827,824.60535,183.61212,-6500.9106,-130.14061,0.8375,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0,Matt,C
-1.936905,7.297516,6.299133,-1.936905,7.297516,6.299133,-1.936905,7.297516,6.299133,-1.936905,7.297516,6.299133,-1.936905,7.297516,6.299133,-1.936905,7.297516,6.299133,389.782,207.92554,-5341.1255,520.9954,0.8375,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0,Matt,C
-1.132446,7.13472,6.950363,-1.132446,7.13472,6.950363,-1.132446,7.13472,6.950363,-1.132446,7.13472,6.950363,-1.132446,7.13472,6.950363,-1.132446,7.13472,6.950363,157.5,253,0,0,0.3875,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',1,Matt,C
-1.596924,7.268784,7.400467,-1.596924,7.268784,7.400467,-1.596924,7.268784,7.400467,0.368256,0.0896,0.077682,0.368256,0.0896,0.077682,0.368256,0.0896,0.077682,258,706,0,0,0.725,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',1,Matt,C
-1.596924,7.268784,7.400467,-1.596924,7.268784,7.400467,-1.596924,7.268784,7.400467,0.368256,0.0896,0.077682,0.368256,0.0896,0.077682,0.368256,0.0896,0.077682,258,706,0,0,0.725,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',1,Matt,C
