@relation mattTest

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {A,B,C,D}

@data
-3.552994,7.364563,5.894516,6.433106,-18.338013,2.119446,-0.100113,0.01915,-0.132095,-0.100113,0.01915,-0.132095,-0.100113,0.01915,-0.132095,-0.100113,0.01915,-0.132095,697,223,0,0,0.325,0.003922,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,Matt,A
-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,269,682,0,0,1.175,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,Matt,A
-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,-3.160339,7.541733,4.865006,269,682,0,0,1.175,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,Matt,A
-2.537842,7.173019,6.042954,-2.537842,7.173019,6.042954,-2.537842,7.173019,6.042954,-2.537842,7.173019,6.042954,-2.537842,7.173019,6.042954,-2.537842,7.173019,6.042954,599.00916,1116.4292,2566.941,2203.1873,0.65,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,Matt,A
-3.308777,7.120346,5.961548,-3.308777,7.120346,5.961548,-3.308777,7.120346,5.961548,-3.308777,7.120346,5.961548,-3.308777,7.120346,5.961548,-3.308777,7.120346,5.961548,1081.2351,813.84204,2072.9644,-1741.7589,0.65,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,Matt,A
-3.122025,7.627914,5.348633,6.433106,-19.03534,3.788757,6.433106,-19.03534,3.788757,6.433106,-19.03534,3.788757,6.433106,-19.03534,3.788757,6.433106,-19.03534,3.788757,821.56445,315.27832,-2402.7615,-2529.7566,0.9125,0.027451,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',35,Matt,A
-4.118027,7.680588,4.05098,-4.118027,7.680588,4.05098,-4.118027,7.680588,4.05098,-4.118027,7.680588,4.05098,-4.118027,7.680588,4.05098,-4.118027,7.680588,4.05098,670.9394,174,0,0,0.5,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,Matt,A
-3.040634,7.177811,5.942398,3.822327,-16.77246,3.956604,3.822327,-16.77246,3.956604,3.822327,-16.77246,3.956604,3.822327,-16.77246,3.956604,3.822327,-16.77246,3.956604,259,747,0,0,0.65,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,Matt,A
-3.040634,7.177811,5.942398,3.822327,-16.77246,3.956604,3.822327,-16.77246,3.956604,3.822327,-16.77246,3.956604,3.822327,-16.77246,3.956604,3.822327,-16.77246,3.956604,259,747,0,0,0.65,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,Matt,A
-2.940079,7.201752,6.775589,-2.940079,7.201752,6.775589,-2.940079,7.201752,6.775589,-2.940079,7.201752,6.775589,-2.940079,7.201752,6.775589,-2.940079,7.201752,6.775589,576.3444,1152.0342,1741.3068,1616.7527,0.575,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,Matt,A
-3.543411,7.431595,5.5737,-3.543411,7.431595,5.5737,-3.543411,7.431595,5.5737,-0.151901,0.40921,0.898651,-0.151901,0.40921,0.898651,-0.151901,0.40921,0.898651,1107.2268,833.3717,2045.2173,-2100.955,0.575,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,Matt,A
-4.572922,7.441177,5.176254,5.737305,-17.990112,1.785278,5.737305,-17.990112,1.785278,5.737305,-17.990112,1.785278,5.737305,-17.990112,1.785278,5.737305,-17.990112,1.785278,843.5313,336.5313,-1705.6799,-1534.8751,0.8375,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',36,Matt,A
-3.270477,7.15387,5.894516,-3.270477,7.15387,5.894516,-3.270477,7.15387,5.894516,-3.270477,7.15387,5.894516,-3.270477,7.15387,5.894516,-3.270477,7.15387,5.894516,715.95056,230.1001,0,0,0.4125,0.007843,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',37,Matt,A
-2.978378,6.9767,5.899307,5.215454,-18.511963,2.954102,5.215454,-18.511963,2.954102,5.215454,-18.511963,2.954102,5.215454,-18.511963,2.954102,5.215454,-18.511963,2.954102,242,667,0,0,0.5,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',37,Matt,A
-2.978378,6.9767,5.899307,5.215454,-18.511963,2.954102,5.215454,-18.511963,2.954102,5.215454,-18.511963,2.954102,5.215454,-18.511963,2.954102,5.215454,-18.511963,2.954102,242,667,0,0,0.5,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',37,Matt,A
-2.844299,7.201752,6.48349,-2.844299,7.201752,6.48349,-2.844299,7.201752,6.48349,-2.844299,7.201752,6.48349,0.105194,0.143188,0.347748,0.105194,0.143188,0.347748,607.7956,1135.4702,2504.2273,1769.9264,0.6125,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',37,Matt,A
-3.428482,7.034164,5.923248,-3.428482,7.034164,5.923248,-3.428482,7.034164,5.923248,-3.428482,7.034164,5.923248,-3.428482,7.034164,5.923248,-3.428482,7.034164,5.923248,1073.8087,833.72314,2289.6316,-2671.4795,0.6125,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',37,Matt,A
-3.897751,7.273575,4.92247,-3.897751,7.273575,4.92247,-3.897751,7.273575,4.92247,-0.20282,0.434296,0.876587,-0.20282,0.434296,0.876587,-0.20282,0.434296,0.876587,863.5254,342.88617,-1773.0524,-2026.6838,0.925,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',37,Matt,A
-3.011902,7.082047,5.731705,-3.011902,7.082047,5.731705,-3.011902,7.082047,5.731705,-3.011902,7.082047,5.731705,-3.011902,7.082047,5.731705,-3.011902,7.082047,5.731705,647.86536,205.81091,0,0,0.925,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38,Matt,A
-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,215,714,0,0,0.55,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38,Matt,A
-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,-3.964783,7.513001,5.286392,215,714,0,0,0.55,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38,Matt,A
-2.849091,7.264008,6.224915,-2.849091,7.264008,6.224915,-2.849091,7.264008,6.224915,-2.849091,7.264008,6.224915,-2.849091,7.264008,6.224915,-2.849091,7.264008,6.224915,561.84247,1134.2109,1528.4321,1451.1055,0.6125,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38,Matt,A
-2.935288,7.383713,5.731705,-2.935288,7.383713,5.731705,-2.935288,7.383713,5.731705,-2.935288,7.383713,5.731705,-2.935288,7.383713,5.731705,-2.935288,7.383713,5.731705,1076.4033,814.3446,2106.1235,-1483.0106,0.6125,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38,Matt,A
-4.046188,7.211334,5.516235,-4.046188,7.211334,5.516235,-4.046188,7.211334,5.516235,-0.18782,0.431519,0.880859,-0.18782,0.431519,0.880859,-0.18782,0.431519,0.880859,868.24884,326.91077,-2139.3093,-1761.8647,0.9125,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',38,Matt,A
-3.869019,7.426804,5.951981,5.911255,-18.511963,2.954102,5.911255,-18.511963,2.954102,5.911255,-18.511963,2.954102,5.911255,-18.511963,2.954102,5.911255,-18.511963,2.954102,633,212,0,0,0.35,0.007843,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-3.308777,7.235275,5.305542,-3.308777,7.235275,5.305542,-3.308777,7.235275,5.305542,-0.174545,0.430527,0.883606,-0.174545,0.430527,0.883606,-0.174545,0.430527,0.883606,264,681,0,0,0.4625,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-3.308777,7.235275,5.305542,-3.308777,7.235275,5.305542,-3.308777,7.235275,5.305542,-0.174545,0.430527,0.883606,-0.174545,0.430527,0.883606,-0.174545,0.430527,0.883606,264,681,0,0,0.4625,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,-2.906555,6.981491,6.296738,584.4289,1116.0819,2722.338,2309.7646,0.6375,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,-3.763672,6.914444,6.560104,1042.9603,764.96387,1148.6078,-2229.614,0.6375,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,-4.055771,7.474686,5.425247,838.53937,311.47943,-2416.862,-2052.2507,0.9125,0.031373,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',39,Matt,A
-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,-3.912125,7.283157,5.664673,660.82587,190.17413,0,0,0.425,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',40,Matt,A
