@relation jamesPattern2_Mean_SD

@attribute ' Counter' numeric
@attribute Name {James}
@attribute Pattern {B}
@attribute ' TYPE_ACC0_Mean' numeric
@attribute ' TYPE_ACC1_Mean' numeric
@attribute ' TYPE_ACC2_Mean' numeric
@attribute ' TYPE_MAG0_Mean' numeric
@attribute ' TYPE_MAG1_Mean' numeric
@attribute ' TYPE_MAG2_Mean' numeric
@attribute ' TYPE_GYRO0_Mean' numeric
@attribute ' TYPE_GYRO1_Mean' numeric
@attribute ' TYPE_GYRO2_Mean' numeric
@attribute ' TYPE_ROTATION0_Mean' numeric
@attribute ' TYPE_ROTATION1_Mean' numeric
@attribute ' TYPE_ROTATION2_Mean' numeric
@attribute ' TYPE_LINEAR0_Mean' numeric
@attribute ' TYPE_LINEAR1_Mean' numeric
@attribute ' TYPE_LINEAR2_Mean' numeric
@attribute ' TYPE_GRAVITY0_Mean' numeric
@attribute ' TYPE_GRAVITY1_Mean' numeric
@attribute ' TYPE_GRAVITY2_Mean' numeric
@attribute ' velocity_x_Mean' numeric
@attribute ' velocity_y_Mean' numeric
@attribute ' pressure_Mean' numeric
@attribute ' size_Mean' numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
0,James,B,-1.824356,20.614029,55.262893,18.073777,31.844055,10.644104,18.073777,31.844055,10.644104,18.135865,28.538223,2.002304,-1.379501,13.928192,37.423492,-1.379501,13.928192,37.423492,1200.4601,6605.80066,3.55,0.113725,0.238875,0.123721,0.168717,8.072783,4.529682,18.238596,8.072783,4.529682,18.238596,8.068346,4.989661,17.897558,0.271633,1.79821,4.730558,0.271633,1.79821,4.730558,3544.98076,1984.934974,0.207012,0.009085
1,James,B,-1.812363,23.867737,63.9778,18.422409,33.631241,19.369859,18.422409,33.631241,19.369859,18.422409,33.631241,19.369859,19.272445,23.450211,-8.217452,19.272445,23.450211,-8.217452,7627.7474,2933.38173,5.15,0.145098,0.100094,0.136163,0.281955,7.662539,3.608308,16.929397,7.662539,3.608308,16.929397,7.662539,3.608308,16.929397,7.610044,4.585223,15.828461,7.610044,4.585223,15.828461,3552.845141,1324.721307,0.137012,0.006289
2,James,B,-3.315903,24.006622,65.323334,37.607041,42.119567,-23.621952,37.607041,42.119567,-23.621952,38.317704,38.696594,-32.792896,38.317704,38.696594,-32.792896,38.317704,38.696594,-32.792896,3631.9009,4479.10213,5.5125,0.164706,0.255839,0.172621,0.204248,9.760648,4.523584,21.572977,9.760648,4.523584,21.572977,9.692257,5.001644,20.931408,9.692257,5.001644,20.931408,9.692257,5.001644,20.931408,2822.086637,1642.583604,0.132288,0.003922
3,James,B,-2.588089,25.093582,64.169357,37.102798,45.049699,-24.931673,38.368011,30.28415,-60.975023,38.368011,30.28415,-60.975023,38.368011,30.28415,-60.975023,38.368011,30.28415,-60.975023,5255.1334,7581.104036,5.225,0.156863,0.216185,0.133318,0.31915,9.632825,4.897657,21.617219,9.50937,6.456083,18.419455,9.50937,6.456083,18.419455,9.50937,6.456083,18.419455,9.50937,6.456083,18.419455,4632.260271,2349.872981,0.108665,0.00373
4,James,B,-2.209778,25.203705,64.504531,-2.209778,25.203705,64.504531,-2.118576,21.579071,55.772613,-2.118576,21.579071,55.772613,-2.118576,21.579071,55.772613,-2.118576,21.579071,55.772613,5182.1349,6592.75939,6.025,0.14902,0.245686,0.09272,0.402928,0.245686,0.09272,0.402928,0.259121,1.396985,3.529079,0.259121,1.396985,3.529079,0.259121,1.396985,3.529079,0.259121,1.396985,3.529079,4900.622539,2569.546687,0.236228,0.006738
5,James,B,-2.032639,25.093567,65.299393,17.319702,36.778412,20.432877,17.204452,33.54715,11.379517,17.204452,33.54715,11.379517,17.79776,26.535278,-6.927582,17.79776,26.535278,-6.927582,3652.1816,6528.18165,5.3625,0.12549,0.190321,0.169576,0.4268,7.272817,4.332032,16.999466,7.279372,4.724383,16.805349,7.279372,4.724383,16.805349,7.242152,5.289684,15.95737,7.242152,5.289684,15.95737,4663.706713,2381.059814,0.325618,0.010585
6,James,B,-2.41571,25.198914,64.772676,17.914825,34.28891,20.194686,-1.485565,17.975433,45.710587,-1.268021,18.048172,45.995087,-1.268021,18.048172,45.995087,-1.268021,18.048172,45.995087,3368.1588,6703.8128,5.0375,0.137255,0.156533,0.161245,0.298922,7.695459,3.415592,16.68698,0.237048,1.740277,4.45792,0.273478,1.722545,4.389529,0.273478,1.722545,4.389529,0.273478,1.722545,4.389529,4214.772998,2420.512439,0.26179,0.008472
7,James,B,-2.305557,24.705704,63.589919,-2.305557,24.705704,63.589919,-2.305557,24.705704,63.589919,-2.305557,24.705704,63.589919,-2.016449,21.187592,54.440795,-2.016449,21.187592,54.440795,3906.1357,7370.109195,6.0125,0.164706,0.032442,0.153378,0.315316,0.032442,0.153378,0.315316,0.032442,0.153378,0.315316,0.032442,0.153378,0.315316,0.104005,1.440715,3.472691,0.104005,1.440715,3.472691,4513.228656,2359.527955,0.108665,0.005546
8,James,B,-2.722153,24.959488,64.461426,37.808152,41.355239,-21.616945,38.078629,37.676437,-31.110216,39.134629,30.585418,-49.164353,39.883973,23.760634,-67.536393,39.883973,23.760634,-67.536393,3484.8657,6740.46732,5.6375,0.129412,0.165825,0.208434,0.235337,9.740531,4.124222,21.084371,9.714473,4.654351,20.435403,9.61217,5.368958,18.816206,9.538061,5.83842,16.60308,9.538061,5.83842,16.60308,4304.573549,2110.579579,0.211746,0.006289
9,James,B,-2.161896,24.475876,64.04486,36.63211,39.361953,-25.010772,36.63211,39.361953,-25.010772,36.63211,39.361953,-25.010772,36.956985,35.868972,-34.168426,36.956985,35.868972,-34.168426,2549.8577,6513.36868,6.15,0.160784,0.175241,0.17565,0.232517,9.499041,3.724162,21.779933,9.499041,3.724162,21.779933,9.499041,3.724162,21.779933,9.467784,4.2226,21.181967,9.467784,4.2226,21.181967,3980.217928,2120.959493,0.188982,0.005741
