@relation jamesPattern3_Mean_SD

@attribute ' Counter' numeric
@attribute Name {James}
@attribute Pattern {C}
@attribute ' TYPE_ACC0_MEAN' numeric
@attribute ' TYPE_ACC1_MEAN' numeric
@attribute ' TYPE_ACC2_MEAN' numeric
@attribute ' TYPE_MAG0_MEAN' numeric
@attribute ' TYPE_MAG1_MEAN' numeric
@attribute ' TYPE_MAG2_MEAN' numeric
@attribute ' TYPE_GYRO0_MEAN' numeric
@attribute ' TYPE_GYRO1_MEAN' numeric
@attribute ' TYPE_GYRO2_MEAN' numeric
@attribute ' TYPE_ROTATION0_MEAN' numeric
@attribute ' TYPE_ROTATION1_MEAN' numeric
@attribute ' TYPE_ROTATION2_MEAN' numeric
@attribute ' TYPE_LINEAR0_MEAN' numeric
@attribute ' TYPE_LINEAR1_MEAN' numeric
@attribute ' TYPE_LINEAR2_MEAN' numeric
@attribute ' TYPE_GRAVITY0_MEAN' numeric
@attribute ' TYPE_GRAVITY1_MEAN' numeric
@attribute ' TYPE_GRAVITY2_MEAN' numeric
@attribute ' velocity_x_MEAN' numeric
@attribute ' velocity_y_MEAN' numeric
@attribute ' pressure_MEAN' numeric
@attribute ' size_MEAN' numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
0,James,C,-0.398113,5.723162,8.003806,-0.398113,5.723162,8.003806,-0.313424,4.925228,6.834623,-0.01059,2.551878,3.694499,-0.01059,2.551878,3.694499,-0.01059,2.551878,3.694499,-585.9991,-140.927463,0.7,0.019608,0.212035,0.183065,0.216098,0.212035,0.183065,0.216098,0.284791,2.124763,3.064891,0.299069,2.945468,4.094115,0.299069,2.945468,4.094115,0.299069,2.945468,4.094115,4421.855407,1861.0326,0.140312,0.006792
1,James,C,-4.793121,50.311707,64.39917,21.602509,31.584031,35.732055,21.602509,31.584031,35.732055,21.602509,31.584031,35.732055,24.699387,0.565064,-2.109971,24.699387,0.565064,-2.109971,-3499.1256,-1128.7854,4.675,0.129412,0.196859,0.21526,0.411133,9.31522,6.688002,10.065336,9.31522,6.688002,10.065336,9.31522,6.688002,10.065336,9.162935,5.856385,8.889818,9.162935,5.856385,8.889818,4801.192065,2032.599345,0.160043,0.004888
2,James,C,-5.406021,51.752991,61.439957,-5.406021,51.752991,61.439957,-4.979797,45.429428,53.495163,-3.102936,32.267593,39.740463,-2.295517,26.042068,32.206665,-2.295517,26.042068,32.206665,345.6238,-2896.9611,4.75,0.141176,0.341551,0.314849,0.269537,0.341551,0.314849,0.269537,0.420426,2.294835,2.726555,0.582914,3.193219,3.81057,0.58648,3.332411,3.916289,0.58648,3.332411,3.916289,5504.813334,2060.560401,0.171391,0.005929
3,James,C,-5.511383,50.359558,62.785491,23.426422,32.662872,32.004256,23.426422,32.662872,32.004256,26.349563,14.848617,11.058532,26.349563,14.848617,11.058532,26.349563,14.848617,11.058532,1900.9714,-3360.298532,4.6,0.141176,0.267802,0.32848,0.390266,10.209146,6.463393,10.820947,10.209146,6.463393,10.820947,10.070112,6.365882,10.425315,10.070112,6.365882,10.425315,10.070112,6.365882,10.425315,5072.436519,1605.826791,0.22668,0.008385
4,James,C,-6.234451,51.393875,60.692947,45.25142,10.68605,4.938887,46.741303,4.077667,-3.469408,46.741303,4.077667,-3.469408,-1.830688,18.838089,23.016754,-1.830688,18.838089,23.016754,1594.2861,-1951.83124,4.6,0.129412,0.193078,0.153301,0.395389,11.973504,9.459037,12.992698,11.86902,9.230829,12.61703,11.86902,9.230829,12.61703,0.601435,3.428553,3.787591,0.601435,3.428553,3.787591,4401.915491,1291.710247,0.207558,0.008236
5,James,C,-7.149017,52.418579,61.3777,-7.149017,52.418579,61.3777,-7.149017,52.418579,61.3777,-7.149017,52.418579,61.3777,-6.227096,45.935837,54.077484,-6.227096,45.935837,54.077484,-1984.5954,-3060.59991,4.7375,0.12549,0.169821,0.194378,0.316424,0.169821,0.194378,0.316424,0.169821,0.194378,0.316424,0.169821,0.194378,0.316424,0.306993,2.171042,2.336857,0.306993,2.171042,2.336857,4775.644343,1686.117164,0.200884,0.006952
6,James,C,-8.159363,52.509567,60.429581,20.847138,33.754638,30.917984,20.847138,33.754638,30.917984,22.334091,27.508102,24.221649,22.334091,27.508102,24.221649,22.334091,27.508102,24.221649,-3088.1053,-3385.94498,4.375,0.105882,0.244164,0.215242,0.33919,10.198113,6.515822,10.222536,10.198113,6.515822,10.222536,10.131031,6.576125,10.17647,10.131031,6.576125,10.17647,10.131031,6.576125,10.17647,4599.106777,1229.158176,0.212211,0.007242
7,James,C,-7.302261,52.054672,60.477479,-7.302261,52.054672,60.477479,-4.876068,38.750198,44.080368,-4.876068,38.750198,44.080368,-4.876068,38.750198,44.080368,-4.876068,38.750198,44.080368,504.9936,-2040.67354,4.8625,0.14902,0.130054,0.163287,0.464236,0.130054,0.163287,0.464236,0.564723,3.039023,3.411277,0.564723,3.039023,3.411277,0.564723,3.039023,3.411277,0.564723,3.039023,3.411277,5029.263624,1953.116787,0.15468,0.005835
8,James,C,-8.394012,51.858322,60.865326,20.539094,32.611938,32.450012,20.539094,32.611938,32.450012,20.539094,32.611938,32.450012,22.610535,19.769897,17.771744,22.610535,19.769897,17.771744,-3587.1064,-5230.235311,4.3875,0.121569,0.201754,0.149329,0.43858,10.142256,6.808681,10.368762,10.142256,6.808681,10.368762,10.142256,6.808681,10.368762,10.047239,6.757784,10.112276,10.047239,6.757784,10.112276,4363.230386,1660.542705,0.196559,0.007965
9,James,C,-7.963028,51.594986,59.730485,50.511262,13.197983,2.955796,51.973176,0.729294,-10.632216,53.338273,-5.59613,-17.667617,53.338273,-5.59613,-17.667617,53.338273,-5.59613,-17.667617,-5229.4184,-5174.36622,4.8625,0.129412,0.198234,0.351439,0.601302,13.413275,8.907742,13.265995,13.306434,8.47121,12.692896,13.20294,8.063215,12.21911,13.20294,8.063215,12.21911,13.20294,8.063215,12.21911,5299.092994,1629.751342,0.150585,0.005717
