@relation jamesPattern4_Mean_SD

@attribute ' Counter' numeric
@attribute Name {James}
@attribute Pattern {D}
@attribute ' TYPE_ACC0_MEAN' numeric
@attribute ' TYPE_ACC1_MEAN' numeric
@attribute ' TYPE_ACC2_MEAN' numeric
@attribute ' TYPE_MAG0_MEAN' numeric
@attribute ' TYPE_MAG1_MEAN' numeric
@attribute ' TYPE_MAG2_MEAN' numeric
@attribute ' TYPE_GYRO0_MEAN' numeric
@attribute ' TYPE_GYRO1_MEAN' numeric
@attribute ' TYPE_GYRO2_MEAN' numeric
@attribute ' TYPE_ROTATION0_MEAN' numeric
@attribute ' TYPE_ROTATION1_MEAN' numeric
@attribute ' TYPE_ROTATION2_MEAN' numeric
@attribute ' TYPE_LINEAR0_MEAN' numeric
@attribute ' TYPE_LINEAR1_MEAN' numeric
@attribute ' TYPE_LINEAR2_MEAN' numeric
@attribute ' TYPE_GRAVITY0_MEAN' numeric
@attribute ' TYPE_GRAVITY1_MEAN' numeric
@attribute ' TYPE_GRAVITY2_MEAN' numeric
@attribute ' position_x_MEAN' numeric
@attribute ' position_y_MEAN' numeric
@attribute ' velocity_x_MEAN' numeric
@attribute ' velocity_y_MEAN' numeric
@attribute ' pressure_MEAN' numeric
@attribute ' size_MEAN' numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' position_x_SD' numeric
@attribute ' position_y_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
0,James,D,0.733575,4.90715,8.515692,0.733575,4.90715,8.515692,0.396057,2.916019,5.180194,0.307565,1.945486,3.551245,0.307565,1.945486,3.551245,0.307565,1.945486,3.551245,556.029352,593.076518,-924.618236,872.74534,0.59,0.018039,0.179279,0.066817,0.219108,0.179279,0.066817,0.219108,0.370745,2.677894,4.733048,0.331005,2.6503,4.704523,0.331005,2.6503,4.704523,0.331005,2.6503,4.704523,219.703746,418.267773,1608.220975,3602.456265,0.150624,0.003508
1,James,D,0.428556,5.199402,8.47786,2.525523,3.374906,0.292633,2.525523,3.374906,0.292633,2.525523,3.374906,0.292633,2.525523,3.374906,0.292633,2.525523,3.374906,0.292633,463.341218,624.285317,-329.187617,-48.328383,0.658333,0.016993,0.042483,0.047538,0.201587,5.154235,4.499337,20.049468,5.154235,4.499337,20.049468,5.154235,4.499337,20.049468,5.154235,4.499337,20.049468,5.154235,4.499337,20.049468,216.515823,335.533251,1363.585624,3643.965081,0.020412,0.003202
2,James,D,0.498784,5.198601,8.686157,2.801885,3.308678,0.534152,2.801885,3.308678,0.534152,0.468076,4.377719,7.229599,0.384928,3.531868,5.833529,0.384928,3.531868,5.833529,510.028085,573.305723,-436.9967,185.38465,0.572917,0.014379,0.080149,0.112732,0.315059,5.615736,4.722824,19.758514,5.615736,4.722824,19.758514,0.126581,2.104753,3.364837,0.233239,2.624471,4.224582,0.233239,2.624471,4.224582,247.953211,354.270288,1852.064757,4449.008083,0.250801,0.008827
3,James,D,0.436539,5.19222,8.609541,3.041245,3.435285,0.54129,3.041245,3.435285,0.54129,2.963292,0.893511,-3.567719,2.963292,0.893511,-3.567719,2.963292,0.893511,-3.567719,543.4992,592.878535,-350.278767,595.86,0.654167,0.018301,0.096979,0.130912,0.16905,6.436595,4.359953,19.843416,6.436595,4.359953,19.843416,6.47477,4.018749,18.287526,6.47477,4.018749,18.287526,6.47477,4.018749,18.287526,239.095049,369.69884,1269.780169,3495.055819,0.173506,0.006867
4,James,D,0.428551,5.140343,8.614329,0.428551,5.140343,8.614329,0.428551,5.140343,8.614329,0.428551,5.140343,8.614329,0.361542,4.281822,7.225171,0.361542,4.281822,7.225171,535.253985,606.436383,-274.8621,369.518717,0.577083,0.012418,0.062045,0.185423,0.244764,0.062045,0.185423,0.244764,0.062045,0.185423,0.244764,0.062045,0.185423,0.244764,0.204835,2.072184,3.54913,0.204835,2.072184,3.54913,235.827469,365.29144,933.625034,3367.882997,0.218005,0.007195
5,James,D,0.35673,5.193815,8.692543,0.35673,5.193815,8.692543,0.35673,5.193815,8.692543,0.319206,4.39149,7.298429,0.319206,4.39149,7.298429,0.319206,4.39149,7.298429,517.274172,596.627255,-617.799063,968.809067,0.785417,0.018954,0.122483,0.158339,0.255497,0.122483,0.158339,0.255497,0.122483,0.158339,0.255497,0.109647,2.106553,3.389931,0.109647,2.106553,3.389931,0.109647,2.106553,3.389931,234.126465,362.728567,1213.657795,2888.904927,0.005103,0.003856
6,James,D,0.351941,5.185036,8.473068,0.351941,5.185036,8.473068,0.351941,5.185036,8.473068,0.351941,5.185036,8.473068,0.234728,3.447022,5.707072,0.234728,3.447022,5.707072,517.673162,610.251973,-486.041186,202.043217,0.69375,0.018301,0.134102,0.08055,0.297142,0.134102,0.08055,0.297142,0.134102,0.08055,0.297142,0.134102,0.08055,0.297142,0.277982,2.663504,4.47124,0.277982,2.663504,4.47124,246.169279,375.647733,1258.145556,2636.817675,0.045928,0.003202
7,James,D,0.433347,5.228925,8.548889,2.911456,3.429171,0.770658,2.911456,3.429171,0.770658,2.911456,3.429171,0.770658,2.742142,0.819097,-3.376699,2.742142,0.819097,-3.376699,511.458882,630.88942,-338.777802,1095.865867,0.59375,0.01634,0.13718,0.143589,0.154294,6.158971,4.526529,18.974185,6.158971,4.526529,18.974185,6.158971,4.526529,18.974185,6.245285,4.146306,17.396896,6.245285,4.146306,17.396896,263.455645,344.200288,1238.692886,3529.664894,0.168402,0.006755
8,James,D,0.391846,5.223343,8.503398,5.980558,1.150932,-7.357196,5.980558,1.150932,-7.357196,3.130257,0.401433,-3.551867,3.083196,-0.477463,-4.929057,3.083196,-0.477463,-4.929057,534.19089,622.357735,-370.643643,494.977517,0.566667,0.015686,0.187774,0.220358,0.147166,8.574748,6.530543,24.480665,8.574748,6.530543,24.480665,6.904771,5.10313,17.941368,6.929411,4.452771,17.132864,6.929411,4.452771,17.132864,264.945463,342.362428,1118.95244,2612.424129,0.187194,0.007441
9,James,D,0.403816,5.313525,8.419601,3.129814,3.640373,0.422796,0.341921,4.452932,7.001261,0.278542,2.719279,4.413767,0.278542,2.719279,4.413767,0.278542,2.719279,4.413767,515.08903,609.157,-557.193708,1003.940633,0.545833,0.015686,0.123154,0.119026,0.214973,6.649449,4.203529,19.540739,0.216623,2.213516,3.432128,0.198449,2.926682,4.538295,0.198449,2.926682,4.538295,0.198449,2.926682,4.538295,235.260518,358.272879,1166.350876,3011.473461,0.132681,0.006075
