@relation jamesPattern1_Mean_SD

@attribute ' Counter' numeric
@attribute Name {James}
@attribute Pattern {A,B,C,D}
@attribute ' TYPE_ACC0_MEAN' numeric
@attribute ' TYPE_ACC1_MEAN' numeric
@attribute ' TYPE_ACC2_MEAN' numeric
@attribute ' TYPE_MAG0_MEAN' numeric
@attribute ' TYPE_MAG1_MEAN' numeric
@attribute ' TYPE_MAG2_MEAN' numeric
@attribute ' TYPE_GYRO0_MEAN' numeric
@attribute ' TYPE_GYRO1_MEAN' numeric
@attribute ' TYPE_GYRO2_MEAN' numeric
@attribute ' TYPE_ROTATION0_MEAN' numeric
@attribute ' TYPE_ROTATION1_MEAN' numeric
@attribute ' TYPE_ROTATION2_MEAN' numeric
@attribute ' TYPE_LINEAR0_MEAN' numeric
@attribute ' TYPE_LINEAR1_MEAN' numeric
@attribute ' TYPE_LINEAR2_MEAN' numeric
@attribute ' TYPE_GRAVITY0_MEAN' numeric
@attribute ' TYPE_GRAVITY1_MEAN' numeric
@attribute ' TYPE_GRAVITY2_MEAN' numeric
@attribute ' velocity_x_MEAN' numeric
@attribute ' velocity_y_MEAN' numeric
@attribute pressure_MEAN numeric
@attribute size_MEAN numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
35,James,A,-1.553034,5.457972,8.118734,15.124463,-1.685727,-7.004229,15.622998,-3.450513,-9.793299,15.638616,-3.418541,-9.692594,15.638616,-3.418541,-9.692594,15.638616,-3.418541,-9.692594,167.855433,-801.003167,0.4625,0.013072,0.145787,0.182507,0.236215,18.187308,7.69567,16.723793,17.64975,6.088747,13.982611,17.633286,6.111247,14.068957,17.633286,6.111247,14.068957,17.633286,6.111247,14.068957,1484.624026,2040.165847,0.030619,0.00405
36,James,A,-1.534676,5.495481,8.043711,-1.534676,5.495481,8.043711,-0.69103,2.725711,4.097801,-0.458644,1.877398,2.901886,-0.21152,0.976458,1.560783,-0.21152,0.976458,1.560783,451.0869,-706.745583,0.408333,0.013072,0.300614,0.160175,0.344095,0.300614,0.160175,0.344095,0.892425,2.981115,4.493499,0.910412,2.810484,4.274297,0.875923,2.324444,3.24353,0.875923,2.324444,3.24353,1797.151666,2010.639621,0.020412,0.004749
37,James,A,-1.485995,5.503464,8.296702,-1.485995,5.503464,8.296702,-1.485995,5.503464,8.296702,-1.485995,5.503464,8.296702,-1.485995,5.503464,8.296702,-1.485995,5.503464,8.296702,180.17519,-707.68205,0.510417,0.012418,0.240137,0.218963,0.171843,0.240137,0.218963,0.171843,0.240137,0.218963,0.171843,0.240137,0.218963,0.171843,0.240137,0.218963,0.171843,0.240137,0.218963,0.171843,1830.802164,2162.448759,0.139512,0.003856
38,James,A,-1.478015,5.563316,8.175395,4.072024,3.262853,3.056176,4.536217,1.391123,0.273761,4.783725,0.566289,-1.009921,4.816002,0.620621,-0.898811,4.816002,0.620621,-0.898811,223.189667,-596.769305,0.433333,0.011765,0.171033,0.220733,0.2208,13.43341,5.642408,12.730756,13.222074,5.447989,12.051122,13.104241,5.123078,11.420969,13.090062,5.117499,11.434265,13.090062,5.117499,11.434265,1581.559717,2239.150174,0.156857,0.004296
39,James,A,-1.548241,5.576884,7.912033,-1.548241,5.576884,7.912033,-0.496437,1.835271,2.580864,-0.496437,1.835271,2.580864,-0.581858,1.91099,2.585813,-0.581858,1.91099,2.585813,-30.06489,-784.844542,0.358333,0.011111,0.18858,0.179327,0.174618,0.18858,0.179327,0.174618,0.857931,2.866709,3.971077,0.857931,2.866709,3.971077,0.809928,2.810726,3.967301,0.809928,2.810726,3.967301,1337.660286,1776.465859,0.040825,0.006755
40,James,A,-1.37985,5.472338,8.238444,-1.37985,5.472338,8.238444,-0.738787,2.736788,4.009008,-0.738787,2.736788,4.009008,-0.495626,1.829536,2.671425,-0.495626,1.829536,2.671425,211.415988,-733.719667,0.38125,0.011765,0.255106,0.192367,0.277887,0.255106,0.192367,0.277887,0.823465,3.003636,4.4606,0.823465,3.003636,4.4606,0.615114,2.755085,4.307334,0.615114,2.755085,4.307334,1428.216855,2073.902691,0.076547,0.004296
41,James,A,-1.458064,5.526609,8.278343,-1.458064,5.526609,8.278343,-1.458064,5.526609,8.278343,-1.007413,3.816472,5.66774,-1.007413,3.816472,5.66774,-1.007413,3.816472,5.66774,74.319483,-816.959733,0.470833,0.013072,0.266298,0.146614,0.126922,0.266298,0.146614,0.126922,0.266298,0.146614,0.126922,0.925894,2.770692,3.938563,0.925894,2.770692,3.938563,0.925894,2.770692,3.938563,1451.224786,2298.553828,0.131735,0.00405
42,James,A,-1.444496,5.544164,8.186564,3.914818,3.241842,3.253199,5.178492,-1.41555,-3.55084,5.218018,-1.325742,-3.369621,5.218018,-1.325742,-3.369621,5.218018,-1.325742,-3.369621,206.41299,-560.042133,0.420833,0.014379,0.175741,0.119178,0.171089,13.255209,5.713785,12.09169,12.635668,3.431412,8.757301,12.616627,3.477511,8.850433,12.616627,3.477511,8.850433,12.616627,3.477511,8.850433,1659.850988,1459.734322,0.071443,0.003202
43,James,A,-1.51712,5.519424,8.259987,3.668788,3.06071,3.007703,3.668788,3.06071,3.007703,3.668788,3.06071,3.007703,3.668788,3.06071,3.007703,3.668788,3.06071,3.007703,334.992867,-522.911172,0.502083,0.013725,0.182984,0.190633,0.091257,12.86343,6.137506,12.788096,12.86343,6.137506,12.788096,12.86343,6.137506,12.788096,12.86343,6.137506,12.788096,12.86343,6.137506,12.788096,1956.391783,1318.347947,0.025516,0.003281
44,James,A,-1.409381,5.624771,8.133891,3.965357,3.147163,3.009542,4.246755,2.228549,1.70904,4.289408,2.263458,1.813838,4.993004,-0.500198,-2.174802,4.993004,-0.500198,-2.174802,179.255333,-445.280617,0.458333,0.013725,0.235882,0.154846,0.267617,13.316358,6.094642,12.381707,13.188406,6.076732,12.19164,13.172051,6.062166,12.176231,12.826662,4.814366,10.374529,12.826662,4.814366,10.374529,1802.774193,1831.513892,0.102062,0.004803
45,James,A,-1.450078,5.585665,8.267973,4.054456,3.031459,3.055964,4.632189,1.114039,0.359746,4.885396,0.224648,-0.932294,4.885396,0.224648,-0.932294,4.885396,0.224648,-0.932294,253.55765,-669.223117,0.466667,0.012418,0.250055,0.093442,0.151806,13.698158,6.292286,12.649048,13.435463,6.016624,12.026561,13.314315,5.605482,11.398199,13.314315,5.605482,11.398199,13.314315,5.605482,11.398199,1329.28398,1643.343527,0.112268,0.004584
46,James,A,-1.46844,5.4891,7.99822,-1.46844,5.4891,7.99822,-1.46844,5.4891,7.99822,-0.597603,2.848857,4.306407,-0.597603,2.848857,4.306407,-0.61511,2.857684,4.31778,401.458483,-392.704025,0.502083,0.015033,0.144556,0.071177,0.148417,0.144556,0.071177,0.148417,0.144556,0.071177,0.148417,0.867046,2.856405,4.08065,0.867046,2.856405,4.08065,0.884942,2.866176,4.092796,1238.053502,1221.087749,0.005103,0.003856
