@relation mattPattern2_Mean_SD

@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {B}
@attribute ' TYPE_ACC0_Mean' numeric
@attribute ' TYPE_ACC1_Mean' numeric
@attribute ' TYPE_ACC2_Mean' numeric
@attribute ' TYPE_MAG0_Mean' numeric
@attribute ' TYPE_MAG1_Mean' numeric
@attribute ' TYPE_MAG2_Mean' numeric
@attribute ' TYPE_GYRO0_Mean' numeric
@attribute ' TYPE_GYRO1_Mean' numeric
@attribute ' TYPE_GYRO2_Mean' numeric
@attribute ' TYPE_ROTATION0_Mean' numeric
@attribute ' TYPE_ROTATION1_Mean' numeric
@attribute ' TYPE_ROTATION2_Mean' numeric
@attribute ' TYPE_LINEAR0_Mean' numeric
@attribute ' TYPE_LINEAR1_Mean' numeric
@attribute ' TYPE_LINEAR2_Mean' numeric
@attribute ' TYPE_GRAVITY0_Mean' numeric
@attribute ' TYPE_GRAVITY1_Mean' numeric
@attribute ' TYPE_GRAVITY2_Mean' numeric
@attribute ' velocity_x_Mean' numeric
@attribute ' velocity_y_Mean' numeric
@attribute ' pressure_Mean' numeric
@attribute ' size_Mean' numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
0,Matt,B,-6.200943,41.932007,40.184219,-6.200943,41.932007,40.184219,-5.600739,35.012985,32.92804,-3.340805,21.473999,20.449356,-2.987396,21.507904,20.787796,-2.987396,21.507904,20.787796,4742.3829,8093.57551,4.225,0.121569,0.405474,0.21553,0.56441,0.405474,0.21553,0.56441,0.530251,2.886183,2.674042,0.878796,3.93496,3.806634,0.91867,3.928742,3.750087,0.91867,3.928742,3.750087,5399.033836,2667.644005,0.167829,0.003856
1,Matt,B,-6.500214,48.729126,48.346069,2.359116,24.376999,10.32547,4.439621,9.959198,-2.441726,4.439621,9.959198,-2.441726,4.472595,10.426895,-3.297515,4.472595,10.426895,-3.297515,3040.3937,12535.0968,5.9,0.141176,0.40763,0.270403,0.562085,2.376211,6.057124,8.983597,2.199325,5.669779,8.29179,2.199325,5.669779,8.29179,2.198255,5.648959,8.298118,2.198255,5.648959,8.298118,6504.759606,3920.156525,0.166436,0.008297
2,Matt,B,-4.84343,47.579941,51.348389,8.310333,23.70813,13.319932,8.64949,17.227783,5.302659,8.64949,17.227783,5.302659,8.64949,17.227783,5.302659,8.64949,17.227783,5.302659,7069.1104,7250.2261,5.6,0.145098,0.423272,0.211216,0.512615,3.070478,5.7509,8.928796,3.044178,5.650025,8.540896,3.044178,5.650025,8.540896,3.044178,5.650025,8.540896,3.044178,5.650025,8.540896,5885.398622,2699.034361,0.198431,0.007057
3,Matt,B,-5.858536,47.44104,50.668442,-0.634048,35.087021,31.692138,0.698791,21.571427,17.362136,4.601791,1.403091,-3.242295,4.601791,1.403091,-3.242295,4.601791,1.403091,-3.242295,-407.15,10848.62703,5.05,0.121569,0.326284,0.123432,0.504972,1.823288,4.61977,6.8141,1.786472,4.946957,6.768191,1.512536,3.533618,5.383844,1.512536,3.533618,5.383844,1.512536,3.533618,5.383844,4913.861319,3131.578888,0.222406,0.006346
4,Matt,B,-5.767578,46.957428,51.568649,-5.767578,46.957428,51.568649,-4.221085,33.436371,36.777282,-4.221085,33.436371,36.777282,-3.263275,26.898849,29.530777,-3.263275,26.898849,29.530777,3063.6086,6177.6948,4.775,0.121569,0.108486,0.21188,0.218768,0.108486,0.21188,0.218768,0.367892,3.334764,3.591739,0.367892,3.334764,3.591739,0.486302,3.653075,3.883096,0.486302,3.653075,3.883096,4031.016111,2141.74482,0.218047,0.00548
5,Matt,B,-6.222473,46.497757,51.568649,5.01477,22.772812,10.333878,6.619156,15.559617,2.767975,6.619156,15.559617,2.767975,7.492294,9.070282,-4.532379,7.492294,9.070282,-4.532379,3106.4311,7733.17295,5.425,0.12549,0.406964,0.314495,0.347589,2.746109,5.723575,9.831409,2.581968,5.532819,9.453795,2.581968,5.532819,9.453795,2.491085,5.219268,8.968322,2.491085,5.219268,8.968322,4655.076101,2394.62703,0.231503,0.006346
6,Matt,B,-7.074799,46.593506,50.821671,-0.636002,36.502456,30.023346,-0.636002,36.502456,30.023346,-0.636002,36.502456,30.023346,-0.636002,36.502456,30.023346,-0.636002,36.502456,30.023346,6975.8332,4245.06173,5.5375,0.129412,0.248116,0.272337,0.278588,2.578325,3.947243,7.735561,2.578325,3.947243,7.735561,2.578325,3.947243,7.735561,2.578325,3.947243,7.735561,2.578325,3.947243,7.735561,4736.926199,1910.550782,0.122838,0.008073
7,Matt,B,-7.568024,47.163331,50.443375,16.017548,9.80925,-6.38562,18.926773,-10.321503,-28.628631,18.926773,-10.321503,-28.628631,18.926773,-10.321503,-28.628631,18.926773,-10.321503,-28.628631,2117.8871,7864.501427,4.6,0.101961,0.392949,0.238829,0.254519,4.185856,6.585612,10.341019,3.801563,4.546317,7.813076,3.801563,4.546317,7.813076,3.801563,4.546317,7.813076,3.801563,4.546317,7.813076,4360.799177,2214.823029,0.179533,0.004916
8,Matt,B,-6.552887,46.253555,51.113753,0.091812,32.938889,31.933593,0.091812,32.938889,31.933593,1.141296,26.549515,24.932067,-4.595123,33.348831,36.839401,-4.595123,33.348831,36.839401,1127.0458,8392.11002,4.8,0.109804,0.196637,0.194698,0.215866,2.531746,5.100034,7.117198,2.531746,5.100034,7.117198,2.51205,5.283752,7.164819,0.593763,3.224132,3.393379,0.593763,3.224132,3.393379,4922.205959,2476.679786,0.10394,0.005546
9,Matt,B,-6.150665,46.358872,51.238235,2.622879,35.479508,33.826569,3.938919,22.821152,19.623581,4.951584,16.060776,12.293488,5.774139,15.618393,12.058732,5.774139,15.618393,12.058732,510.6459,8158.793087,4.3125,0.090196,0.2402,0.239239,0.21063,3.444758,4.189134,6.648715,3.384869,4.654641,6.751035,3.343942,4.467043,6.443349,3.318307,4.505239,6.454086,3.318307,4.505239,6.454086,4332.924742,2380.087655,0.26797,0.005412
