@relation mattPattern3_Mean_SD

@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {C}
@attribute ' TYPE_ACC0_Mean' numeric
@attribute ' TYPE_ACC1_Mean' numeric
@attribute ' TYPE_ACC2_Mean' numeric
@attribute ' TYPE_MAG0_Mean' numeric
@attribute ' TYPE_MAG1_Mean' numeric
@attribute ' TYPE_MAG2_Mean' numeric
@attribute ' TYPE_GYRO0_Mean' numeric
@attribute ' TYPE_GYRO1_Mean' numeric
@attribute ' TYPE_GYRO2_Mean' numeric
@attribute ' TYPE_ROTATION0_Mean' numeric
@attribute ' TYPE_ROTATION1_Mean' numeric
@attribute ' TYPE_ROTATION2_Mean' numeric
@attribute ' TYPE_LINEAR0_Mean' numeric
@attribute ' TYPE_LINEAR1_Mean' numeric
@attribute ' TYPE_LINEAR2_Mean' numeric
@attribute ' TYPE_GRAVITY0_Mean' numeric
@attribute ' TYPE_GRAVITY1_Mean' numeric
@attribute ' TYPE_GRAVITY2_Mean' numeric
@attribute ' velocity_x_Mean' numeric
@attribute ' velocity_y_Mean' numeric
@attribute ' pressure_Mean' numeric
@attribute ' size_Mean' numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
0,Matt,C,-9.454651,47.792999,48.76265,-0.794296,36.402099,29.697159,4.251694,17.331451,7.779785,4.251694,17.331451,7.779785,4.251694,17.331451,7.779785,4.251694,17.331451,7.779785,-1836.8545,-3510.82198,5.0125,0.113725,0.621626,0.364361,0.555183,3.328847,4.333049,7.068392,3.129648,4.576967,6.551684,3.129648,4.576967,6.551684,3.129648,4.576967,6.551684,3.129648,4.576967,6.551684,4510.106141,1079.857008,0.207379,0.003528
1,Matt,C,-10.342895,56.474381,56.397751,-1.763931,44.429123,37.444931,-1.763931,44.429123,37.444931,2.166428,30.070755,22.799362,2.166428,30.070755,22.799362,2.166428,30.070755,22.799362,-917.81026,-3257.610555,5.4625,0.14902,0.323946,0.242636,0.419645,3.057096,4.246671,6.782641,3.057096,4.246671,6.782641,2.937297,4.69494,6.790716,2.937297,4.69494,6.790716,2.937297,4.69494,6.790716,3579.233347,1118.189681,0.119324,0.004059
2,Matt,C,-12.119385,57.135178,54.7697,8.788726,34.828659,15.228471,10.853164,26.877869,8.952851,12.77153,20.033554,2.201707,14.345245,12.861298,-4.298232,14.345245,12.861298,-4.298232,-3806.6433,-3370.13522,5.5375,0.133333,0.431872,0.301838,0.523338,4.922497,5.098972,8.843319,4.775332,5.165345,8.666511,4.654387,5.047048,8.343452,4.539614,4.75914,7.988359,4.539614,4.75914,7.988359,3608.17881,1185.376851,0.013258,0.001815
3,Matt,C,-10.67807,57.163894,55.09053,18.311188,20.045105,-1.105133,18.311188,20.045105,-1.105133,19.946854,12.56279,-7.027023,11.389236,17.834763,4.574478,11.389236,17.834763,4.574478,-2492.32346,-2936.15763,5.2625,0.137255,0.187765,0.270374,0.54084,5.067156,6.508843,9.849887,5.067156,6.508843,9.849887,4.934237,6.187883,9.523578,4.331767,5.62999,8.423953,4.331767,5.62999,8.423953,3145.598047,986.281096,0.119324,0.005108
4,Matt,C,-11.554336,57.010681,54.008332,-11.554336,57.010681,54.008332,-8.603973,42.872803,40.308121,-4.858597,29.061783,27.113755,-3.138824,21.923187,20.613663,-3.138824,21.923187,20.613663,-2971.2584,-1645.636457,5.05,0.137255,0.193448,0.220472,0.6174,0.193448,0.220472,0.6174,0.739281,3.276045,3.182951,0.880182,3.74445,3.505549,0.819931,3.657206,3.610756,0.819931,3.657206,3.610756,3290.490672,1016.691084,0.1661,0.005108
5,Matt,C,-10.740326,55.511917,49.263047,-10.740326,55.511917,49.263047,-9.681717,48.71141,42.529221,-7.79155,41.707107,35.853852,-6.371658,34.644073,29.200501,-6.371658,34.644073,29.200501,987.48957,-2398.945682,5.3375,0.145098,0.416864,0.235329,1.238557,0.416864,0.235329,1.238557,0.654287,2.437162,2.475642,0.82701,3.139245,2.910743,0.929455,3.579459,3.104953,0.929455,3.579459,3.104953,3616.415739,929.188867,0.163518,0.006267
6,Matt,C,-8.451477,54.664367,55.933289,18.684708,18.865524,-0.804474,20.08667,11.634033,-8.160248,20.08667,11.634033,-8.160248,20.08667,11.634033,-8.160248,20.08667,11.634033,-8.160248,-2784.52087,-1917.22635,4.5875,0.117647,0.293759,0.196733,0.435033,4.862355,6.285137,9.796349,4.722037,6.072333,9.331023,4.722037,6.072333,9.331023,4.722037,6.072333,9.331023,4.722037,6.072333,9.331023,3988.168218,1232.045327,0.19439,0.004059
7,Matt,C,-9.548019,54.659561,55.957245,7.429596,29.750397,18.396377,7.429596,29.750397,18.396377,10.974594,16.295563,5.334716,12.720108,9.192734,-1.197709,12.720108,9.192734,-1.197709,177.2652,-3335.522037,4.6125,0.109804,0.518168,0.369374,0.618036,3.845688,5.675602,8.891419,3.845688,5.675602,8.891419,3.60327,5.434493,8.430296,3.474206,5.071309,8.154176,3.474206,5.071309,8.154176,3009.301125,1170.106699,0.22375,0.006952
8,Matt,C,-10.955795,56.555771,55.061798,17.361725,17.438827,-1.998261,0.689026,29.510422,22.42633,0.689026,29.510422,22.42633,0.689026,29.510422,22.42633,0.689026,29.510422,22.42633,1113.805,-4459.96257,4.9375,0.12549,0.351985,0.291043,0.387971,4.662613,6.603407,9.892027,2.823347,4.68239,6.786163,2.823347,4.68239,6.786163,2.823347,4.68239,6.786163,2.823347,4.68239,6.786163,3549.544763,1225.836256,0.171383,0.004687
9,Matt,C,-12.066711,55.004303,55.669907,-1.266312,42.424484,36.960022,0.848129,35.004242,30.684418,0.848129,35.004242,30.684418,0.848129,35.004242,30.684418,0.848129,35.004242,30.684418,-1247.2659,-3019.789507,5.6875,0.133333,0.371339,0.201056,0.535553,3.806563,4.494259,6.699445,3.710255,4.826921,6.828105,3.710255,4.826921,6.828105,3.710255,4.826921,6.828105,3.710255,4.826921,6.828105,2940.012723,1079.581735,0.181196,0.006545
10,Matt,C,-13.723511,56.68985,53.548676,4.874054,32.640777,15.583039,4.874054,32.640777,15.583039,7.215088,25.779938,8.300232,7.215088,25.779938,8.300232,7.215088,25.779938,8.300232,-489.8097,-2921.067572,5.45,0.141176,0.551195,0.383777,0.526681,4.273926,5.471941,8.56498,4.273926,5.471941,8.56498,4.146565,5.467591,8.254385,4.146565,5.467591,8.254385,4.146565,5.467591,8.254385,3093.366093,971.7882,0.159099,0.006629
11,Matt,C,-14.489655,57.178253,52.509583,-3.07164,44.175492,34.606644,-3.07164,44.175492,34.606644,-1.250244,37.543229,28.25296,2.463165,23.278305,15.314728,2.463165,23.278305,15.314728,-736.5521,-4063.70907,5.0625,0.12549,0.452571,0.350051,0.50213,4.115178,4.661561,6.376954,4.115178,4.661561,6.376954,4.094264,4.964298,6.428823,3.906008,4.890295,6.28354,3.906008,4.890295,6.28354,3249.182617,1052.543558,0.183947,0.005929
12,Matt,C,-12.823288,55.44487,54.707443,-12.823288,55.44487,54.707443,-12.823288,55.44487,54.707443,-8.422577,35.31044,35.043823,-8.422577,35.31044,35.043823,-8.422577,35.31044,35.043823,-1786.7061,-3382.21447,5.0875,0.117647,0.537219,0.046982,0.34389,0.537219,0.046982,0.34389,0.537219,0.046982,0.34389,1.194124,3.48308,3.331767,1.194124,3.48308,3.331767,1.194124,3.48308,3.331767,3291.67558,1159.004941,0.187968,0.005835
