@relation mattPattern4_mean_sd

@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {D}
@attribute ' TYPE_ACC0_MEAN' numeric
@attribute ' TYPE_ACC1_MEAN' numeric
@attribute ' TYPE_ACC2_MEAN' numeric
@attribute ' TYPE_MAG0_MEAN' numeric
@attribute ' TYPE_MAG1_MEAN' numeric
@attribute ' TYPE_MAG2_MEAN' numeric
@attribute ' TYPE_GYRO0_MEAN' numeric
@attribute ' TYPE_GYRO1_MEAN' numeric
@attribute ' TYPE_GYRO2_MEAN' numeric
@attribute ' TYPE_ROTATION0_MEAN' numeric
@attribute ' TYPE_ROTATION1_MEAN' numeric
@attribute ' TYPE_ROTATION2_MEAN' numeric
@attribute ' TYPE_LINEAR0_MEAN' numeric
@attribute ' TYPE_LINEAR1_MEAN' numeric
@attribute ' TYPE_LINEAR2_MEAN' numeric
@attribute ' TYPE_GRAVITY0_MEAN' numeric
@attribute ' TYPE_GRAVITY1_MEAN' numeric
@attribute ' TYPE_GRAVITY2_MEAN' numeric
@attribute ' velocity_x_MEAN' numeric
@attribute ' velocity_y_MEAN' numeric
@attribute ' pressure_MEAN' numeric
@attribute ' size_MEAN' numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
0,Matt,D,-2.002026,6.63768,6.924506,-2.002026,6.63768,6.924506,-2.002026,6.63768,6.924506,-1.672238,5.465381,5.437686,-1.672238,5.465381,5.437686,-1.672238,5.465381,5.437686,-465.915016,539.34984,0.61,0.013333,0.646625,0.43151,0.561857,0.646625,0.43151,0.561857,0.646625,0.43151,0.561857,1.228458,2.966584,2.933073,1.228458,2.966584,2.933073,1.228458,2.966584,2.933073,760.010109,2994.051854,0.191703,0.009028
1,Matt,D,-2.299222,6.719719,6.717326,0.208898,4.8622,3.689023,0.208898,4.8622,3.689023,0.70516,3.78274,2.641708,-1.364075,4.505386,4.578779,-1.364075,4.505386,4.578779,-457.952312,617.83975,0.6375,0.015033,0.339628,0.198418,0.128973,5.954609,4.550393,7.478098,5.954609,4.550393,7.478098,5.790963,4.786873,7.440751,1.180322,3.438824,3.433775,1.180322,3.438824,3.433775,864.426432,2136.862154,0.091856,0.004584
2,Matt,D,-2.560989,6.904872,6.758024,2.277562,3.404477,0.10507,2.277562,3.404477,0.10507,2.277562,3.404477,0.10507,3.058222,1.196449,-2.174828,0.26607,3.378578,0.988037,-531.281673,432.120033,0.75,0.018301,0.407997,0.372207,0.420919,7.823582,5.885081,10.020171,7.823582,5.885081,10.020171,7.823582,5.885081,10.020171,7.332535,5.201752,8.740513,5.159187,4.137383,7.58041,660.583654,2794.043908,0.183712,0.005904
3,Matt,D,-2.546626,6.702962,6.861776,0.48468,4.988261,3.67185,0.48468,4.988261,3.67185,-1.086398,3.472252,3.602371,-0.298106,1.228587,1.359952,-0.298106,1.228587,1.359952,-474.171896,625.397533,0.652083,0.015686,0.211313,0.265428,0.137611,7.262962,4.18936,7.71458,7.262962,4.18936,7.71458,1.52331,3.520129,3.568852,0.98864,2.464432,2.757696,0.98864,2.464432,2.757696,1161.488712,2805.427931,0.086753,0.00496
4,Matt,D,-2.567373,6.601603,6.966324,-2.567373,6.601603,6.966324,-2.567373,6.601603,6.966324,-1.631114,4.518921,4.732595,-1.223325,3.418638,3.594874,-1.223325,3.418638,3.594874,-474.462651,539.945467,0.583333,0.017647,0.272388,0.261791,0.282191,0.272388,0.261791,0.282191,0.272388,0.261791,0.282191,1.498932,3.295963,3.371055,1.438374,3.407585,3.605042,1.438374,3.407585,3.605042,857.507493,2232.198573,0.051031,0.004803
5,Matt,D,-2.48278,6.766808,6.833445,0.253805,5.055834,3.724538,0.253805,5.055834,3.724538,0.253805,5.055834,3.724538,0.253805,5.055834,3.724538,0.253805,5.055834,3.724538,-499.503917,443.181667,0.583333,0.01634,0.287357,0.333149,0.345609,6.78398,4.310837,7.501615,6.78398,4.310837,7.501615,6.78398,4.310837,7.501615,6.78398,4.310837,7.501615,6.78398,4.310837,7.501615,912.39054,2438.014635,0.010206,0.001601
6,Matt,D,-1.932111,6.358988,7.326248,2.798719,3.24851,0.871292,0.827415,3.808871,2.769544,0.827415,3.808871,2.769544,0.827415,3.808871,2.769544,0.827415,3.808871,2.769544,-437.67466,648.837283,0.5125,0.011111,0.262064,0.293229,0.22618,7.133805,4.764073,10.1676,5.684717,3.899817,8.264556,5.684717,3.899817,8.264556,5.684717,3.899817,8.264556,5.684717,3.899817,8.264556,838.518963,2432.524797,0.145559,0.005212
7,Matt,D,-2.035065,6.452365,7.125135,0.678652,4.405731,3.90843,0.989654,3.327385,2.727931,0.989654,3.327385,2.727931,1.296209,2.278453,1.512573,1.296209,2.278453,1.512573,-465.824537,504.3634,0.508333,0.013072,0.32579,0.279107,0.199698,6.403245,4.838475,7.914576,6.291515,4.977457,7.853975,6.291515,4.977457,7.853975,6.183888,4.972039,7.52728,6.183888,4.972039,7.52728,1099.857369,2167.505799,0.206408,0.004749
8,Matt,D,-2.172335,6.606394,6.827459,-2.172335,6.606394,6.827459,-2.172335,6.606394,6.827459,-2.172335,6.606394,6.827459,-1.459562,4.35909,4.563202,-1.459562,4.35909,4.563202,-454.19984,475.420583,0.55625,0.011765,0.219253,0.224795,0.308034,0.219253,0.224795,0.308034,0.219253,0.224795,0.308034,0.219253,0.224795,0.308034,1.027509,3.424001,3.654838,1.027509,3.424001,3.654838,825.879901,2263.084822,0.210022,0.006075
9,Matt,D,-2.274483,6.718122,6.872149,0.082802,4.89679,3.656871,0.553996,3.708458,2.559087,0.553996,3.708458,2.559087,-1.452393,4.439756,4.608164,-1.452393,4.439756,4.608164,-643.240049,469.2956,0.6,0.013072,0.302055,0.303915,0.278182,6.012868,4.735382,7.626134,5.861106,4.969067,7.593675,5.861106,4.969067,7.593675,1.304689,3.609425,3.422042,1.304689,3.609425,3.422042,1096.315183,2300.703512,0.222907,0.006404
