@relation mattPattern1_Mean_SD

@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {A,B,C,D}
@attribute ' TYPE_ACC0_MEAN' numeric
@attribute ' TYPE_ACC1_MEAN' numeric
@attribute ' TYPE_ACC2_MEAN' numeric
@attribute ' TYPE_MAG0_MEAN' numeric
@attribute ' TYPE_MAG1_MEAN' numeric
@attribute ' TYPE_MAG2_MEAN' numeric
@attribute ' TYPE_GYRO0_MEAN' numeric
@attribute ' TYPE_GYRO1_MEAN' numeric
@attribute ' TYPE_GYRO2_MEAN' numeric
@attribute ' TYPE_ROTATION0_MEAN' numeric
@attribute ' TYPE_ROTATION1_MEAN' numeric
@attribute ' TYPE_ROTATION2_MEAN' numeric
@attribute ' TYPE_LINEAR0_MEAN' numeric
@attribute ' TYPE_LINEAR1_MEAN' numeric
@attribute ' TYPE_LINEAR2_MEAN' numeric
@attribute ' TYPE_GRAVITY0_MEAN' numeric
@attribute ' TYPE_GRAVITY1_MEAN' numeric
@attribute ' TYPE_GRAVITY2_MEAN' numeric
@attribute velocity_x_MEAN numeric
@attribute velocity_y_MEAN numeric
@attribute pressure_MEAN numeric
@attribute size_MEAN numeric
@attribute ' TYPE_ACC0_SD' numeric
@attribute ' TYPE_ACC1_SD' numeric
@attribute ' TYPE_ACC2_SD' numeric
@attribute ' TYPE_MAG0_SD' numeric
@attribute ' TYPE_MAG1_SD' numeric
@attribute ' TYPE_MAG2_SD' numeric
@attribute ' TYPE_GYRO0_SD' numeric
@attribute ' TYPE_GYRO1_SD' numeric
@attribute ' TYPE_GYRO2_SD' numeric
@attribute ' TYPE_ROTATION0_SD' numeric
@attribute ' TYPE_ROTATION1_SD' numeric
@attribute ' TYPE_ROTATION2_SD' numeric
@attribute ' TYPE_LINEAR0_SD' numeric
@attribute ' TYPE_LINEAR1_SD' numeric
@attribute ' TYPE_LINEAR2_SD' numeric
@attribute ' TYPE_GRAVITY0_SD' numeric
@attribute ' TYPE_GRAVITY1_SD' numeric
@attribute ' TYPE_GRAVITY2_SD' numeric
@attribute ' velocity_x_SD' numeric
@attribute ' velocity_y_SD' numeric
@attribute ' pressure_SD' numeric
@attribute ' size_SD' numeric

@data
35,Matt,A,-3.140386,7.394885,5.496277,0.116486,-1.332754,4.607119,-0.972384,1.726774,4.231862,-0.972384,1.726774,4.231862,-0.972384,1.726774,4.231862,-0.972384,1.726774,4.231862,372.857317,-344.721367,0.814583,0.020915,0.335498,0.211162,0.546394,4.900049,13.445271,1.475625,3.82324,10.586416,2.294083,3.82324,10.586416,2.294083,3.82324,10.586416,2.294083,3.82324,10.586416,2.294083,1779.072503,1647.691104,0.335635,0.010999
36,Matt,A,-3.542618,7.351789,5.576886,0.463407,-4.870183,4.349792,0.463407,-4.870183,4.349792,1.028659,-6.04058,3.570618,1.028659,-6.04058,3.570618,1.028659,-6.04058,3.570618,346.807367,-336.5129,0.63125,0.018301,0.672258,0.202739,0.91575,4.449866,13.491094,1.694559,4.449866,13.491094,1.694559,4.035182,12.476918,2.055597,4.035182,12.476918,2.055597,4.035182,12.476918,2.055597,1371.331834,1319.416324,0.115583,0.006404
37,Matt,A,-3.232961,7.102793,5.837056,-0.501684,-1.393428,4.855321,-0.501684,-1.393428,4.855321,0.114138,-2.533307,4.181007,0.60572,-3.709735,3.158384,0.60572,-3.709735,3.158384,503.46775,-488.039483,0.59375,0.01634,0.390452,0.124962,0.504544,4.441279,13.26019,1.555963,4.441279,13.26019,1.555963,4.120812,12.645875,2.245116,3.865314,11.863214,2.379942,3.865314,11.863214,2.379942,1620.888855,1609.210625,0.179365,0.008005
38,Matt,A,-3.462006,7.32785,5.629557,-3.462006,7.32785,5.629557,-3.462006,7.32785,5.629557,-2.818944,6.197881,4.856995,-2.818944,6.197881,4.856995,-2.818944,6.197881,4.856995,249.207717,-298.961633,0.69375,0.016993,0.583529,0.173063,0.353181,0.583529,0.173063,0.353181,0.583529,0.173063,0.353181,1.385668,2.82965,1.978881,1.385668,2.82965,1.978881,1.385668,2.82965,1.978881,1481.612517,1172.427097,0.176556,0.007711
39,Matt,A,-3.535428,7.211329,5.807526,-1.905383,2.888201,5.307879,-1.905383,2.888201,5.307879,-0.860639,0.619952,3.8339,-0.860639,0.619952,3.8339,-0.860639,0.619952,3.8339,242.3473,-328.68335,0.577083,0.015686,0.431823,0.227112,0.543449,3.850159,10.485825,1.272789,3.850159,10.485825,1.272789,3.731548,9.931557,2.615823,3.731548,9.931557,2.615823,3.731548,9.931557,2.615823,1686.372006,1665.51659,0.198812,0.008226
40,Matt,A,-3.400559,7.211329,5.639936,-0.402725,-1.545019,4.81941,-0.402725,-1.545019,4.81941,0.616547,-3.781047,3.175128,0.616547,-3.781047,3.175128,0.616547,-3.781047,3.175128,241.54605,-433.92185,0.79375,0.022876,0.54751,0.193728,0.233963,4.376372,13.41374,1.453337,4.376372,13.41374,1.453337,3.836454,12.057114,2.151867,3.836454,12.057114,2.151867,3.836454,12.057114,2.151867,1257.959591,1321.222161,0.226764,0.00838
41,Matt,A,-3.639178,7.113963,6.036573,0.768491,-5.943131,4.894562,0.768491,-5.943131,4.894562,0.768491,-5.943131,4.894562,0.768491,-5.943131,4.894562,0.768491,-5.943131,4.894562,150.291167,-480.6869,0.7875,0.020915,0.399855,0.148197,0.30399,5.103795,14.343485,1.259418,5.103795,14.343485,1.259418,5.103795,14.343485,1.259418,5.103795,14.343485,1.259418,5.103795,14.343485,1.259418,1480.242193,1518.024451,0.242642,0.007302
42,Matt,A,-3.44605,7.190582,5.687818,0.066048,-5.985151,4.63397,-1.369937,0.347888,3.37424,-1.437635,0.503812,3.66554,-0.757932,-0.712743,2.811511,-0.757932,-0.712743,2.811511,460.455967,-377.141067,0.68125,0.018301,0.491931,0.150013,0.505103,4.022571,14.42385,0.857865,2.527057,10.293275,2.664566,2.483657,10.289127,2.225142,2.168141,9.736452,2.533269,2.168141,9.736452,2.533269,1577.590873,1652.000687,0.196174,0.008827
43,Matt,A,-3.620824,7.410848,5.41967,0.094648,-1.333013,4.38342,0.094648,-1.333013,4.38342,0.094648,-1.333013,4.38342,-0.937411,1.736092,4.045382,-0.937411,1.736092,4.045382,155.20161,-252.522083,0.645833,0.017647,0.570208,0.123822,0.519325,5.301302,13.512659,1.516071,5.301302,13.512659,1.516071,5.301302,13.512659,1.516071,4.529696,10.670149,2.068482,4.529696,10.670149,2.068482,1233.74309,1228.060443,0.189022,0.008132
44,Matt,A,-3.404546,7.661438,4.853836,-2.720329,3.228472,4.47789,-2.720329,3.228472,4.47789,-2.720329,3.228472,4.47789,-2.060277,1.975232,3.662369,-2.060277,1.975232,3.662369,-46.795183,-60.0087,0.610417,0.014379,0.953977,0.249493,0.660799,2.200777,10.994232,0.981587,2.200777,10.994232,0.981587,2.200777,10.994232,0.981587,2.057776,10.762232,2.257432,2.057776,10.762232,2.257432,1185.133584,1082.306098,0.204697,0.0081
45,Matt,A,-3.772456,7.686175,4.891345,-3.772456,7.686175,4.891345,-3.772456,7.686175,4.891345,-3.772456,7.686175,4.891345,-3.097267,6.44044,4.076721,-3.097267,6.44044,4.076721,98.4134,-391.701133,0.779167,0.023529,0.767487,0.380146,0.899395,0.767487,0.380146,0.899395,0.767487,0.380146,0.899395,0.767487,0.380146,0.899395,1.571464,3.044979,2.455813,1.571464,3.044979,2.455813,1590.967558,1477.387938,0.254665,0.009606
46,Matt,A,-3.312772,7.680593,4.950401,-3.312772,7.680593,4.950401,-3.312772,7.680593,4.950401,-1.90697,4.072583,2.833204,-0.689072,1.57648,1.114871,-0.689072,1.57648,1.114871,154.989733,-448.29285,0.772917,0.022222,0.442809,0.241406,0.442075,0.442809,0.241406,0.442075,0.442809,0.241406,0.442075,1.917642,3.959438,2.165519,1.487295,3.178813,1.738806,1.487295,3.178813,1.738806,1392.970619,1331.743096,0.15071,0.0081
47,Matt,A,-3.407738,7.536143,5.222544,0.278203,-1.458262,4.599729,0.278203,-1.458262,4.599729,0.683515,-2.641042,3.833397,0.683515,-2.641042,3.833397,0.683515,-2.641042,3.833397,559.951933,-466.126583,0.739583,0.022222,0.680124,0.135991,0.442659,5.137607,13.957646,1.2868,5.137607,13.957646,1.2868,4.957904,13.330509,1.885593,4.957904,13.330509,1.885593,4.957904,13.330509,1.885593,1743.135732,1834.52239,0.243338,0.010125
48,Matt,A,-3.760485,7.319064,5.031006,-1.925626,2.930529,4.792575,-0.793643,0.394213,3.154589,-0.305908,-0.743146,2.424782,-0.305908,-0.743146,2.424782,-0.305908,-0.743146,2.424782,338.360883,-361.094433,0.71875,0.019608,0.725951,0.240293,0.651296,4.320627,10.932599,0.810869,4.179125,10.366995,2.57366,4.024289,9.825283,2.473671,4.024289,9.825283,2.473671,4.024289,9.825283,2.473671,1476.869466,1436.776476,0.246317,0.010811
49,Matt,A,-3.670306,7.12115,5.675847,-2.758413,2.818792,5.385241,-2.758413,2.818792,5.385241,-2.758413,2.818792,5.385241,-2.054919,1.642392,4.494998,-2.054919,1.642392,4.494998,298.019657,-361.2513,0.65,0.018954,0.345665,0.130024,0.375391,2.546928,10.621552,0.405565,2.546928,10.621552,0.405565,2.546928,10.621552,0.405565,2.769489,10.451453,2.054349,2.769489,10.451453,2.054349,1697.364607,1452.626005,0.138293,0.004584
50,Matt,A,-3.837901,7.184995,5.361402,-3.837901,7.184995,5.361402,-3.837901,7.184995,5.361402,-3.373337,6.092555,4.435842,-3.373337,6.092555,4.435842,-3.373337,6.092555,4.435842,68.313343,-584.154678,0.716667,0.018954,0.556994,0.267515,0.826627,0.556994,0.267515,0.826627,0.556994,0.267515,0.826627,1.617676,2.795698,1.84532,1.617676,2.795698,1.84532,1.617676,2.795698,1.84532,1542.349862,1336.195649,0.231526,0.00838
51,Matt,A,-4.171494,7.124336,5.369387,-4.171494,7.124336,5.369387,-4.171494,7.124336,5.369387,-4.171494,7.124336,5.369387,-4.171494,7.124336,5.369387,-4.171494,7.124336,5.369387,12.844123,-359.028967,0.76875,0.020915,0.864383,0.154197,0.677545,0.864383,0.154197,0.677545,0.864383,0.154197,0.677545,0.864383,0.154197,0.677545,0.864383,0.154197,0.677545,0.864383,0.154197,0.677545,1457.445806,1219.842836,0.239237,0.009499
52,Matt,A,-3.857056,7.148282,5.245689,1.926008,-6.002991,4.797699,1.926008,-6.002991,4.797699,-0.098941,0.315249,3.603172,1.760251,-3.266749,0.822413,1.760251,-3.266749,0.822413,131.3104,-437.813667,0.764583,0.020915,0.742209,0.142444,0.579032,6.123212,14.354954,0.926196,6.123212,14.354954,0.926196,5.247323,10.589129,2.29031,4.085154,8.325547,1.287396,4.085154,8.325547,1.287396,1192.46171,1542.917575,0.282999,0.012066
53,Matt,A,-3.824326,7.405261,5.485906,-2.664525,3.018824,5.187279,-1.989126,1.753662,4.299494,-1.479139,0.615239,3.448486,-1.479139,0.615239,3.448486,-1.479139,0.615239,3.448486,94.536712,-245.080833,0.779167,0.022222,0.412001,0.131754,0.549757,2.950022,10.633339,0.538973,2.984133,10.469348,2.112205,2.997526,10.115722,2.313743,2.997526,10.115722,2.313743,2.997526,10.115722,2.313743,1376.134042,1179.381551,0.237259,0.010125
54,Matt,A,-3.010302,6.999041,6.172246,-1.604223,2.732836,6.310313,-1.604223,2.732836,6.310313,-1.604223,2.732836,6.310313,-1.604223,2.732836,6.310313,-1.604223,2.732836,6.310313,423.768783,-325.66435,0.68125,0.020261,0.806032,0.338261,0.596375,3.348722,10.32732,0.633884,3.348722,10.32732,0.633884,3.348722,10.32732,0.633884,3.348722,10.32732,0.633884,3.348722,10.32732,0.633884,1588.683531,1403.02844,0.131518,0.007611
55,Matt,A,-3.040629,7.407656,5.734901,-2.607485,2.94091,6.024717,-2.51825,6.110552,4.723274,-1.579061,3.608711,2.409431,-1.579061,3.608711,2.409431,-1.579061,3.608711,2.409431,380.1469,-293.399267,0.797917,0.022222,0.643096,0.293933,0.528185,1.204017,10.940504,1.113708,1.393844,3.186133,2.196062,1.94097,4.384667,3.216131,1.94097,4.384667,3.216131,1.94097,4.384667,3.216131,1389.629188,1693.965148,0.133092,0.005358
56,Matt,A,-2.994342,7.529755,5.524213,-2.994342,7.529755,5.524213,-2.994342,7.529755,5.524213,-2.994342,7.529755,5.524213,-2.994342,7.529755,5.524213,-2.994342,7.529755,5.524213,317.362383,-273.43225,0.675,0.015686,0.780692,0.304487,0.648138,0.780692,0.304487,0.648138,0.780692,0.304487,0.648138,0.780692,0.304487,0.648138,0.780692,0.304487,0.648138,0.780692,0.304487,0.648138,1500.311275,1361.152185,0.219517,0.008592
