TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
19412959, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, 271.0, 247.0, 0.0, 0.0, 0.3625, 0.007843138, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 0
19412959, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, -0.5243225, 3.5888977, 9.236816, 271.0, 247.0, 0.0, 0.0, 0.3625, 0.007843138, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 0
19413102, 0.10293579, 3.3734283, 8.939941, 0.10293579, 3.3734283, 8.939941, 0.10293579, 3.3734283, 8.939941, 0.1650238, 0.067596436, 0.29814148, 0.1650238, 0.067596436, 0.29814148, 0.1650238, 0.067596436, 0.29814148, 541.1228, 221.65302, 4855.1196, -470.34964, 0.6375, 0.027450982, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 0
19413203, -0.41418457, 3.320755, 9.164993, 19.483948, 14.550781, -35.453796, 19.483948, 14.550781, -35.453796, 19.483948, 14.550781, -35.453796, -0.031417847, -0.059249878, -0.032608032, -0.031417847, -0.059249878, -0.032608032, 1053.6783, 188.74207, 3084.5396, 372.1364, 0.6375, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 0
19413470, -0.24180603, 3.325531, 9.217667, -0.24180603, 3.325531, 9.217667, -0.24180603, 3.325531, 9.217667, -0.24180603, 3.325531, 9.217667, -0.24180603, 3.325531, 9.217667, -0.24180603, 3.325531, 9.217667, 819.47363, 624.19836, -5277.4326, 4790.9277, 0.6375, 0.019607844, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 0
19413603, -0.22265625, 3.4165192, 9.46666, -0.22265625, 3.4165192, 9.46666, -0.22265625, 3.4165192, 9.46666, -0.22265625, 3.4165192, 9.46666, -0.22265625, 3.4165192, 9.46666, -0.22265625, 3.4165192, 9.46666, 362.8997, 1073.0542, -1461.7665, 1913.0862, 0.9125, 0.027450982, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 0

19413765, -0.26574707, 3.5410156, 9.648621, -0.26574707, 3.5410156, 9.648621, -0.26574707, 3.5410156, 9.648621, -0.26574707, 3.5410156, 9.648621, 0.011062622, 0.08589172, 0.47509766, 0.011062622, 0.08589172, 0.47509766, 293.5, 1205.0, 0.0, 0.0, 0.425, 0.011764707, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 1
19414055, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, 249.0, 251.0, 0.0, 0.0, 0.7875, 0.015686275, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 1
19414055, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, -0.3040619, 3.4069366, 9.126694, 249.0, 251.0, 0.0, 0.0, 0.7875, 0.015686275, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 1
19414220, -0.21786499, 3.5888977, 8.786713, -0.21786499, 3.5888977, 8.786713, -0.21786499, 3.5888977, 8.786713, -0.21786499, 3.5888977, 8.786713, -0.21786499, 3.5888977, 8.786713, -0.21786499, 3.5888977, 8.786713, 630.18317, 202.07361, 6538.783, -740.39496, 0.7875, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 1
19414287, -0.22744751, 3.2201996, 8.9878235, 20.007324, 12.983704, -35.620117, 20.007324, 12.983704, -35.620117, 20.007324, 12.983704, -35.620117, 20.007324, 12.983704, -35.620117, 20.007324, 12.983704, -35.620117, 1067.3739, 156.9469, 5340.049, -454.39017, 0.7875, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 1
19414554, -0.4093933, 3.253708, 8.963882, -0.4093933, 3.253708, 8.963882, -0.4093933, 3.253708, 8.963882, -0.4093933, 3.253708, 8.963882, -0.026931763, -0.12449646, -0.23448181, -0.026931763, -0.12449646, -0.23448181, 772.2331, 629.61865, -3493.0903, 3178.3164, 0.7875, 0.027450982, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 1
19414738, -0.08378601, 3.4500427, 9.337372, -0.08378601, 3.4500427, 9.337372, -0.08378601, 3.4500427, 9.337372, -0.08378601, 3.4500427, 9.337372, 0.10697937, 0.1023407, 0.12194824, 0.10697937, 0.1023407, 0.12194824, 355.87604, 1083.1653, -757.9943, 949.85046, 0.7875, 0.027450982, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 1

19415446, -0.45729065, 3.1675262, 9.117111, -0.45729065, 3.1675262, 9.117111, -0.45729065, 3.1675262, 9.117111, -0.45729065, 3.1675262, 9.117111, -0.45729065, 3.1675262, 9.117111, -0.45729065, 3.1675262, 9.117111, 218.24535, 1234.0, 0.0, 0.0, 0.4875, 0.015686275, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 2
19416101, -0.8020477, 3.5793304, 9.519333, 19.659424, 12.635803, -34.95331, 19.659424, 12.635803, -34.95331, 19.659424, 12.635803, -34.95331, 19.659424, 12.635803, -34.95331, 19.659424, 12.635803, -34.95331, 276.0, 183.0, 0.0, 0.0, 0.83750004, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 2
19416101, -0.8020477, 3.5793304, 9.519333, 19.659424, 12.635803, -34.95331, 19.659424, 12.635803, -34.95331, 19.659424, 12.635803, -34.95331, 19.659424, 12.635803, -34.95331, 19.659424, 12.635803, -34.95331, 276.0, 183.0, 0.0, 0.0, 0.83750004, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 2
19416240, -0.23701477, 3.5649567, 9.327805, -0.23701477, 3.5649567, 9.327805, -0.23701477, 3.5649567, 9.327805, -0.23701477, 3.5649567, 9.327805, -0.23701477, 3.5649567, 9.327805, -0.23701477, 3.5649567, 9.327805, 651.57587, 135.30719, 6355.82, -1479.1683, 0.83750004, 0.027450982, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 2
19416357, -0.54826355, 3.4931335, 9.476242, -0.54826355, 3.4931335, 9.476242, -0.54826355, 3.4931335, 9.476242, 0.16239929, 0.07015991, 0.30529785, 0.16239929, 0.07015991, 0.30529785, 0.16239929, 0.07015991, 0.30529785, 1130.7699, 84.17108, 1102.2611, 244.93813, 0.83750004, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 2
19416540, -0.21307373, 3.2249756, 8.997406, -0.21307373, 3.2249756, 8.997406, -0.21307373, 3.2249756, 8.997406, -0.21307373, 3.2249756, 8.997406, -0.21307373, 3.2249756, 8.997406, -0.21307373, 3.2249756, 8.997406, 736.7239, 586.0349, -2520.6135, 3349.3728, 0.83750004, 0.027450982, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 2
19416791, -0.25616455, 3.3973694, 9.366104, -0.25616455, 3.3973694, 9.366104, -0.25616455, 3.3973694, 9.366104, -0.25616455, 3.3973694, 9.366104, -0.25616455, 3.3973694, 9.366104, -0.25616455, 3.3973694, 9.366104, 383.7928, 1110.7404, -1305.5667, 2363.9595, 0.83750004, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 2

19416948, -0.42855835, 3.3351135, 9.385269, -0.42855835, 3.3351135, 9.385269, -0.42855835, 3.3351135, 9.385269, -0.42855835, 3.3351135, 9.385269, -0.42855835, 3.3351135, 9.385269, -0.42855835, 3.3351135, 9.385269, 283.0, 1271.0, 0.0, 0.0, 0.5, 0.015686275, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 3
19417245, -0.375885, 3.7086182, 8.887268, -0.375885, 3.7086182, 8.887268, -0.010650635, -0.12782288, 0.038330078, -0.010650635, -0.12782288, 0.038330078, -0.010650635, -0.12782288, 0.038330078, -0.010650635, -0.12782288, 0.038330078, 290.0, 262.0, 0.0, 0.0, 0.7875, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 3
19417245, -0.375885, 3.7086182, 8.887268, -0.375885, 3.7086182, 8.887268, -0.010650635, -0.12782288, 0.038330078, -0.010650635, -0.12782288, 0.038330078, -0.010650635, -0.12782288, 0.038330078, -0.010650635, -0.12782288, 0.038330078, 290.0, 262.0, 0.0, 0.0, 0.7875, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 3
19417375, -0.6823425, 3.6846619, 9.667786, 19.659424, 14.028931, -34.95331, 19.659424, 14.028931, -34.95331, 19.659424, 14.028931, -34.95331, 19.659424, 14.028931, -34.95331, 19.659424, 14.028931, -34.95331, 622.38525, 225.58026, 7068.266, -556.9423, 0.7875, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 3
19417442, -0.002380371, 3.5410156, 8.896851, -0.002380371, 3.5410156, 8.896851, -0.03300476, 0.092666626, -0.046875, -0.03300476, 0.092666626, -0.046875, -0.03300476, 0.092666626, -0.046875, -0.03300476, 0.092666626, -0.046875, 1123.8102, 179.04407, 6385.0713, -63.256664, 0.7875, 0.019607844, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 3
19417642, -0.509964, 3.569748, 9.418777, -0.509964, 3.569748, 9.418777, 0.055404663, -0.0745697, 0.017028809, 0.055404663, -0.0745697, 0.017028809, 0.055404663, -0.0745697, 0.017028809, 0.055404663, -0.0745697, 0.017028809, 796.4382, 700.3744, -6143.2915, 6023.7993, 0.7875, 0.027450982, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 3
19417775, -0.21307373, 3.545807, 9.026138, 19.136047, 13.157654, -35.453796, 19.136047, 13.157654, -35.453796, 19.136047, 13.157654, -35.453796, 19.136047, 13.157654, -35.453796, 19.136047, 13.157654, -35.453796, 360.08832, 1107.4061, -2054.9124, 2177.5037, 0.7875, 0.023529414, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 3

19417887, -0.10772705, 3.4931335, 9.773117, -0.10772705, 3.4931335, 9.773117, -0.10772705, 3.4931335, 9.773117, -0.10772705, 3.4931335, 9.773117, -0.10772705, 3.4931335, 9.773117, -0.10772705, 3.4931335, 9.773117, 287.0, 1196.0, 0.0, 0.0, 0.32500002, 0.007843138, "[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]", 4
