@relation jamesPattern3-35

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric

@data
-0.335175,5.877762,7.917618,-0.335175,5.877762,7.917618,-0.335175,5.877762,7.917618,0.236374,0.209152,0.59697,0.236374,0.209152,0.59697,0.236374,0.209152,0.59697,261,716,0,0,0.5875,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0
-0.335175,5.877762,7.917618,-0.335175,5.877762,7.917618,-0.335175,5.877762,7.917618,0.236374,0.209152,0.59697,0.236374,0.209152,0.59697,0.236374,0.209152,0.59697,261,716,0,0,0.5875,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0
-0.191528,5.614395,8.429977,-0.191528,5.614395,8.429977,-0.191528,5.614395,8.429977,-0.191528,5.614395,8.429977,-0.191528,5.614395,8.429977,-0.191528,5.614395,8.429977,609.86597,769.8093,6258.6294,1368.2306,0.85,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0
-0.148438,5.523422,8.008591,-0.148438,5.523422,8.008591,-0.148438,5.523422,8.008591,-0.148438,5.523422,8.008591,-0.148438,5.523422,8.008591,-0.148438,5.523422,8.008591,1051.5542,768.3893,2436.2314,-781.3543,0.5875,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0
-0.550659,5.954376,7.735657,-0.550659,5.954376,7.735657,-0.550659,5.954376,7.735657,-0.550659,5.954376,7.735657,-0.550659,5.954376,7.735657,-0.550659,5.954376,7.735657,1232.7747,409.6482,-651.1591,-3902.4885,0.5875,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0
-0.469254,5.710159,8.085205,-0.469254,5.710159,8.085205,0.123566,0.124619,-0.099075,0.123566,0.124619,-0.099075,0.123566,0.124619,-0.099075,0.123566,0.124619,-0.099075,864.26465,154.09546,-6537.5864,666.91956,0.85,0.027451,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0
-0.756561,5.504257,7.931976,-0.756561,5.504257,7.931976,-0.756561,5.504257,7.931976,0.220184,0.228027,0.592407,0.220184,0.228027,0.592407,0.220184,0.228027,0.592407,393.28613,249.5061,-5608.109,1662.2004,0.85,0.027451,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',0
-0.646423,6.509827,8.908813,-0.646423,6.509827,8.908813,-0.646423,6.509827,8.908813,-0.646423,6.509827,8.908813,-0.646423,6.509827,8.908813,-0.646423,6.509827,8.908813,182,277.5,0,0,0.35,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',1
-0.636856,6.552918,8.080429,-0.636856,6.552918,8.080429,-0.636856,6.552918,8.080429,-0.636856,6.552918,8.080429,-0.071518,0.27861,0.565018,-0.071518,0.27861,0.565018,330,697,0,0,0.5125,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',1
-0.636856,6.552918,8.080429,-0.636856,6.552918,8.080429,-0.636856,6.552918,8.080429,-0.636856,6.552918,8.080429,-0.071518,0.27861,0.565018,-0.071518,0.27861,0.565018,330,697,0,0,0.5125,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',1
-0.646423,6.131546,8.243225,25.749207,-12.59613,-20.42389,25.749207,-12.59613,-20.42389,25.749207,-12.59613,-20.42389,25.749207,-12.59613,-20.42389,25.749207,-12.59613,-20.42389,625.99744,778.2036,6312.7344,1159.336,0.775,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',1
