@relation mattPattern2-35

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]'}
@attribute ' Counter' numeric

@data
-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,257,205,0,0,0.4875,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',0
-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,-1.122879,7.113159,6.686997,257,205,0,0,0.4875,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',0
-1.687912,7.285553,7.256821,-1.687912,7.285553,7.256821,-1.687912,7.285553,7.256821,-1.687912,7.285553,7.256821,-1.687912,7.285553,7.256821,-1.687912,7.285553,7.256821,564.51044,199.64563,7863.5835,-713.16113,0.8125,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',0
-0.466858,6.715729,5.868179,-0.466858,6.715729,5.868179,-0.466858,6.715729,5.868179,0.395859,0.003784,-0.152618,0.395859,0.003784,-0.152618,0.395859,0.003784,-0.152618,1118.7672,144.38885,6329.1484,-520.08636,0.8125,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',0
-1.003159,6.825867,6.318283,-1.003159,6.825867,6.318283,-1.003159,6.825867,6.318283,0.394058,-0.001175,-0.139603,0.394058,-0.001175,-0.139603,0.394058,-0.001175,-0.139603,749.36615,604.0984,-5939.173,5718.253,0.8125,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',0
-0.797256,6.87854,7.366943,-0.797256,6.87854,7.366943,-0.197052,-0.040482,0.110764,-0.197052,-0.040482,0.110764,0.156357,-0.006577,0.449204,0.156357,-0.006577,0.449204,299.94327,1061.3801,-3511.176,3608.57,0.8125,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',0
-0.548264,6.811493,7.491455,3.126526,-5.635071,-11.741638,3.126526,-5.635071,-11.741638,3.126526,-5.635071,-11.741638,3.126526,-5.635071,-11.741638,3.126526,-5.635071,-11.741638,164,1227,0,0,0.5375,0.003922,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',1
-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,179,220,0,0,0.9375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',1
-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,-1.242584,7.271179,6.931213,179,220,0,0,0.9375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',1
-1.132446,7.156265,7.271179,-1.132446,7.156265,7.271179,-0.173615,-0.251404,0.05751,-0.173615,-0.251404,0.05751,-0.032913,0.162201,0.485718,-0.032913,0.162201,0.485718,681.17865,207.2486,10116.223,-1166.9525,0.9375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',1
-0.227448,6.58165,6.73967,-0.227448,6.58165,6.73967,-0.227448,6.58165,6.73967,-0.227448,6.58165,6.73967,-0.227448,6.58165,6.73967,-0.227448,6.58165,6.73967,1116.9545,154.87976,7036.8677,-789.03,0.9375,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',1
-1.266525,6.845017,5.767624,-1.266525,6.845017,5.767624,-0.144852,-0.165115,0.214096,-0.144852,-0.165115,0.214096,-0.252579,-0.111023,-1.069901,-0.252579,-0.111023,-1.069901,781.4738,624.1439,-8426.088,9204.197,0.9375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',1
-0.840363,6.792343,7.213715,4.344177,-5.11322,-11.573792,4.344177,-5.11322,-11.573792,4.344177,-5.11322,-11.573792,4.344177,-5.11322,-11.573792,4.344177,-5.11322,-11.573792,333.75537,1066.873,-5686.609,5286.8823,0.675,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',1
-0.380676,6.696579,7.874527,-0.380676,6.696579,7.874527,-0.041519,0.216232,-0.142746,-0.041519,0.216232,-0.142746,-0.041519,0.216232,-0.142746,-0.041519,0.216232,-0.142746,131.5,1285,0,0,0.35,0.007843,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',2
-0.993591,6.931213,7.094009,-0.993591,6.931213,7.094009,-0.993591,6.931213,7.094009,-0.993591,6.931213,7.094009,-0.993591,6.931213,7.094009,-0.993591,6.931213,7.094009,132,290,0,0,0.875,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',2
