@relation mattPattern4-15

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]'}
@attribute ' Counter' numeric

@data
-1.716629,7.125137,6.99585,-1.716629,7.125137,6.99585,-1.716629,7.125137,6.99585,-1.716629,7.125137,6.99585,-0.069427,0.058044,0.399521,-0.069427,0.058044,0.399521,186,593.40674,0,0,0.5,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,746,293,0,0,0.375,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,-1.505951,7.03894,6.828262,746,293,0,0,0.375,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
-1.65918,7.249634,6.876144,10.783386,-4.241943,-12.07428,10.783386,-4.241943,-12.07428,10.783386,-4.241943,-12.07428,10.783386,-4.241943,-12.07428,10.783386,-4.241943,-12.07428,665.63055,598.2053,-1840.856,5034.834,0.75,0.011765,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
-1.256943,6.789948,6.971909,-1.256943,6.789948,6.971909,-1.256943,6.789948,6.971909,-1.256943,6.789948,6.971909,-1.256943,6.789948,6.971909,-1.256943,6.789948,6.971909,397.24164,1134.3445,-2383.1763,3178.739,0.75,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
-1.860291,7.211334,6.646301,-1.860291,7.211334,6.646301,-1.860291,7.211334,6.646301,-1.860291,7.211334,6.646301,-1.860291,7.211334,6.646301,-1.860291,7.211334,6.646301,257.72876,880.78125,131.41231,-3396.8547,0.75,0.019608,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',35
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
-1.644806,6.900085,7.091614,-1.644806,6.900085,7.091614,-1.644806,6.900085,7.091614,-1.644806,6.900085,7.091614,-1.644806,6.900085,7.091614,-1.644806,6.900085,7.091614,269,610,0,0,0.3625,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',36
-1.596924,7.139496,6.746857,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,698,260,0,0,0.4125,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',36
-1.596924,7.139496,6.746857,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,10.087585,-5.635071,-13.076782,698,260,0,0,0.4125,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',36
-1.817184,7.240051,6.751648,-1.817184,7.240051,6.751648,-0.060699,0.030884,0.068161,-0.060699,0.030884,0.068161,-0.060699,0.030884,0.068161,-0.060699,0.030884,0.068161,673.32794,582.5991,-919.4822,4727.407,0.6875,0.007843,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',36
-1.386231,6.675034,7.273575,-1.386231,6.675034,7.273575,-1.386231,6.675034,7.273575,-1.386231,6.675034,7.273575,-1.386231,6.675034,7.273575,-1.386231,6.675034,7.273575,374.36594,1184.9268,-2054.456,2229.06,0.6875,0.011765,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',36
-2.03746,7.278366,6.397293,-2.03746,7.278366,6.397293,-2.03746,7.278366,6.397293,-2.03746,7.278366,6.397293,-2.03746,7.278366,6.397293,-2.03746,7.278366,6.397293,243,879.98157,-0.006563,-4159.978,0.6875,0.015686,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',36
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
-1.453278,7.077255,6.813889,-1.453278,7.077255,6.813889,-1.453278,7.077255,6.813889,-1.453278,7.077255,6.813889,-1.453278,7.077255,6.813889,-1.453278,7.077255,6.813889,254,582.5,0,0,0.25,0.003922,'[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]',37
