@relation mattPattern2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]'}
@attribute ' Counter' numeric
@attribute Name {Matt, James}

@data
-0.782898,5.999863,7.620743,-0.782898,5.999863,7.620743,-0.782898,5.999863,7.620743,0.234772,0.233963,0.563965,0.234772,0.233963,0.563965,0.234772,0.233963,0.563965,264.67462,1234.6508,0,0,0.2625,0.003922,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,Matt
-1.180328,6.268005,7.659042,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,275,296,0,0,0.5,0.011765,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,Matt
-1.180328,6.268005,7.659042,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,9.043884,-5.635071,-9.736633,275,296,0,0,0.5,0.011765,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,Matt
-1.089356,6.493073,7.783539,-1.089356,6.493073,7.783539,-0.040466,0.035141,-0.009598,-0.040466,0.035141,-0.009598,-0.040466,0.035141,-0.009598,-0.040466,0.035141,-0.009598,546.30237,250.21222,5087.99,-653.53564,0.775,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,Matt
-0.730225,6.153091,7.357376,-0.730225,6.153091,7.357376,-0.730225,6.153091,7.357376,-0.730225,6.153091,7.357376,-0.730225,6.153091,7.357376,-0.730225,6.153091,7.357376,1073.7085,187.7644,3380.121,-333.3449,0.775,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,Matt
-0.845139,6.234497,7.362167,-0.845139,6.234497,7.362167,-0.845139,6.234497,7.362167,-0.845139,6.234497,7.362167,-0.845139,6.234497,7.362167,-0.845139,6.234497,7.362167,722.66376,625.31226,-5399.8633,5138.883,0.775,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,Matt
-1.022324,6.023804,7.979874,10.261536,-6.504822,-10.905457,10.261536,-6.504822,-10.905457,0.234955,0.239563,0.564285,0.234955,0.239563,0.564285,0.234955,0.239563,0.564285,333.46368,1058.9508,-1182.9741,1721.3098,0.775,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,Matt
-1.074982,6.100418,7.635101,-1.074982,6.100418,7.635101,-1.074982,6.100418,7.635101,-1.074982,6.100418,7.635101,-1.074982,6.100418,7.635101,-1.074982,6.100418,7.635101,268,1150,0,0,0.5,0.007843,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,Matt
-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,248,229,0,0,0.375,0.007843,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,Matt
-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,-0.936127,6.330261,7.29512,248,229,0,0,0.375,0.007843,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,Matt
