@relation jamesPattern3-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt, James}

@data
-0.84993,6.842621,7.352585,-0.84993,6.842621,7.352585,-0.84993,6.842621,7.352585,-0.84993,6.842621,7.352585,-0.84993,6.842621,7.352585,-0.84993,6.842621,7.352585,203.26482,228.73517,0,0,0.2625,0.003922,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',35,Matt
-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,220,721,0,0,0.325,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',35,Matt
-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,-1.362289,7.230484,7.060486,220,721,0,0,0.325,0.007843,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',35,Matt
-0.998367,7.03894,6.380539,-0.998367,7.03894,6.380539,-0.998367,7.03894,6.380539,-0.998367,7.03894,6.380539,-0.998367,7.03894,6.380539,-0.998367,7.03894,6.380539,608.89124,704.371,6110.2607,-471.517,0.7125,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',35,Matt
-0.347153,6.737274,7.45314,-0.347153,6.737274,7.45314,-0.347153,6.737274,7.45314,-0.347153,6.737274,7.45314,-0.347153,6.737274,7.45314,-0.347153,6.737274,7.45314,1062.7412,672,2268.5442,-1.019989,0.7125,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',35,Matt
-1.031891,6.804306,6.921631,-1.031891,6.804306,6.921631,-1.031891,6.804306,6.921631,-1.031891,6.804306,6.921631,-1.031891,6.804306,6.921631,-1.031891,6.804306,6.921631,1172.2213,365.46686,127.0087,-3170.1008,0.7125,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',35,Matt
-0.457291,6.368576,7.247238,-0.457291,6.368576,7.247238,-0.457291,6.368576,7.247238,-0.457291,6.368576,7.247238,-0.457291,6.368576,7.247238,-0.457291,6.368576,7.247238,878.62213,214.3576,-5362.901,57.76965,0.7125,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',35,Matt
-1.175552,7.149078,6.677414,-1.175552,7.149078,6.677414,-1.175552,7.149078,6.677414,0.322449,0.202179,0.387497,0.322449,0.202179,0.387497,0.322449,0.202179,0.387497,393.35266,229,-2756.1064,-0.012521,0.7125,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',35,Matt
-0.955277,6.991058,7.625519,-0.955277,6.991058,7.625519,0.12677,-0.03302,-0.106522,0.12677,-0.03302,-0.106522,0.12677,-0.03302,-0.106522,0.12677,-0.03302,-0.106522,235.05484,219,0,0,0.7125,0.011765,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',36,Matt
-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,246,737,0,0,0.4625,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',36,Matt
-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,-0.778107,6.732483,7.304703,246,737,0,0,0.4625,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',36,Matt
-0.47644,6.512222,6.586441,-0.47644,6.512222,6.586441,-0.47644,6.512222,6.586441,-0.47644,6.512222,6.586441,-0.47644,6.512222,6.586441,-0.47644,6.512222,6.586441,582.64453,734.84534,6228.4907,-453.90796,0.725,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',36,Matt
-0.011963,6.272797,7.668625,-0.011963,6.272797,7.668625,-0.011963,6.272797,7.668625,-0.011963,6.272797,7.668625,-0.011963,6.272797,7.668625,-0.011963,6.272797,7.668625,1036.8501,703.4794,4322.7715,-254.03,0.725,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',36,Matt
-0.620087,6.521805,6.940781,-0.620087,6.521805,6.940781,-0.620087,6.521805,6.940781,-0.620087,6.521805,6.940781,-0.620087,6.521805,6.940781,-0.620087,6.521805,6.940781,1221.8766,410.65674,-748.3012,-2409.189,0.725,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',36,Matt
