TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
19119709,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,297,673,0,0,0.35,0.007843138,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0
19119709,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,-0.94091797,5.6239777,7.958313,297,673,0,0,0.35,0.007843138,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0
19119950,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,-0.7733154,5.3893433,8.44194,611.8482,1086.5571,1297.3408,2075.7031,0.6375,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0
19120201,-0.7493744,5.2552643,8.216888,-0.7493744,5.2552643,8.216888,0.030899048,-0.003189087,-0.054336548,0.030899048,-0.003189087,-0.054336548,0.030899048,-0.003189087,-0.054336548,0.030899048,-0.003189087,-0.054336548,1136.2618,860.93494,2561.9392,-2751.3926,0.6375,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0
19120552,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,-1.2952576,5.6910095,7.982254,851.4247,295.14966,-1686.9938,-1816.7688,0.6375,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0
,,,,,,,,,,,,,,,,,,,,,,,,,,
19120742,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,-1.1659698,5.719742,8.590393,729,212,0,0,0.25,0.003921569,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1
19121114,-1.3527222,5.743683,7.977478,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,277,691,0,0,0.475,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1
19121114,-1.3527222,5.743683,7.977478,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,33.406067,-13.291931,-19.088745,277,691,0,0,0.475,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1
19121338,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,-1.1947021,5.49469,7.9487457,600.1589,1079.171,1829.1178,1900.7151,0.475,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1
