 Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, velocity_x_MEAN, velocity_y_MEAN,pressure_MEAN,size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
0,James,A,-0.939956668,5.5167145,8.1115416,-0.939956668,5.5167145,8.1115416,-0.7839019784,4.4650238226,6.4572966904,-0.7839019784,4.4650238226,6.4572966904,-0.7839019784,4.4650238226,6.4572966904,-0.7839019784,4.4650238226,6.4572966904,434.45724,-498.49166,0.5225,0.0133333342,0.2181350004,0.1857210037,0.214437787,0.2181350004,0.1857210037,0.214437787,0.49366117,2.5004340705,3.6459488209,0.49366117,2.5004340705,3.6459488209,0.49366117,2.5004340705,3.6459488209,0.49366117,2.5004340705,3.6459488209,1592.8597105629,1866.6068008481,0.1574702353,0.0059473533
1,James,A,-1.2633336167,5.631157,8.0987802167,15.9019446167,-3.7033842833,-5.60935195,15.9019446167,-3.7033842833,-5.60935195,16.1365408617,-4.5910236433,-6.82034539,16.1365408617,-4.5910236433,-6.82034539,16.1365408617,-4.5910236433,-6.82034539,492.9890666667,-295.6678333333,0.4375,0.0124183015,0.0798791754,0.1175928911,0.260688558,18.7354690004,10.1913451793,15.0757408488,18.7354690004,10.1913451793,15.0757408488,18.485215794,9.4251127119,14.0284437536,18.485215794,9.4251127119,14.0284437536,18.485215794,9.4251127119,14.0284437536,1240.5600608026,1403.0211567207,0.0918558654,0.0052123928
2,James,A,-1.28647615,5.75246175,8.0469028833,-1.28647615,5.75246175,8.0469028833,-1.03035483,4.7485173567,6.7071304155,-0.8327229883,3.89695485,5.4391276655,-0.8327229883,3.89695485,5.4391276655,-0.8327229883,3.89695485,5.4391276655,341.7732,-712.0381666667,0.6208333667,0.016993465,0.2497050749,0.2271825514,0.124010279,0.2497050749,0.2271825514,0.124010279,0.4944747904,2.3981223697,3.2688258881,0.7012524552,2.9750591126,3.9578841413,0.7012524552,2.9750591126,3.9578841413,0.7012524552,2.9750591126,3.9578841413,1355.4611332897,1806.3794697991,0.0714434672,0.0053578832
3,James,A,-0.9113820417,5.4795226667,8.2767459167,-0.9113820417,5.4795226667,8.2767459167,-0.7566197683,4.5873514267,6.9016086183,-0.23813883,1.937014255,2.974507595,-0.23813883,1.937014255,2.974507595,-0.23813883,1.937014255,2.974507595,336.2786333333,-625.2725333333,0.6187500067,0.013725491,0.462782904,0.3102278603,0.4323456173,0.462782904,0.3102278603,0.4323456173,0.5595673722,2.2092121451,3.3503407179,0.6722960826,2.6986930256,3.8323215211,0.6722960826,2.6986930256,3.8323215211,0.6722960826,2.6986930256,3.8323215211,1519.1444411111,2072.8476584896,0.0153093272,0.0041129758
4,James,A,-1.1140925167,5.26404315,8.4395548333,4.6327489333,2.6550444833,3.2728678333,4.6327489333,2.6550444833,3.2728678333,4.6327489333,2.6550444833,3.2728678333,4.6327489333,2.6550444833,3.2728678333,4.6327489333,2.6550444833,3.2728678333,194.46195,-391.55705,0.5125000233,0.0156862753,0.5116323002,0.3588271,0.2614076439,14.1052586048,6.2869534407,12.593788453,14.1052586048,6.2869534407,12.593788453,14.1052586048,6.2869534407,12.593788453,14.1052586048,6.2869534407,12.593788453,14.1052586048,6.2869534407,12.593788453,1429.7870877358,1861.297157433,0.1376135945,0.0035075575
5,James,A,-1.1771418333,5.5585302167,8.1315002333,-1.1771418333,5.5585302167,8.1315002333,-0.2130711935,0.895876551,1.4246165208,-0.2130711935,0.895876551,1.4246165208,-0.2130711935,0.895876551,1.4246165208,-0.2130711935,0.895876551,1.4246165208,472.0158333333,-477.8234166667,0.4166666683,0.0084967327,0.2307355049,0.3039087933,0.3156637785,0.2307355049,0.3039087933,0.3156637785,0.6707283411,2.302147168,3.5199555398,0.6707283411,2.302147168,3.5199555398,0.6707283411,2.302147168,3.5199555398,0.6707283411,2.302147168,3.5199555398,2032.4090753241,2386.9760386927,0.1592299152,0.0038556552
6,James,A,-1.3599014,5.6000315333,8.201729,-1.3599014,5.6000315333,8.201729,-1.3599014,5.6000315333,8.201729,-1.3599014,5.6000315333,8.201729,-0.7396265492,2.8422877,4.1952312113,-0.7396265492,2.8422877,4.1952312113,355.6222833333,-442.4254,0.4354166733,0.0111111118,0.2405860474,0.2314983191,0.2518982592,0.2405860474,0.2314983191,0.2518982592,0.2405860474,0.2314983191,0.2518982592,0.2405860474,0.2314983191,0.2518982592,0.6308063193,3.0037299086,4.3875787071,0.6308063193,3.0037299086,4.3875787071,1529.5070625589,1490.3283410334,0.1430508298,0.0038556551
7,James,A,-1.160382575,5.4827117833,8.2735546667,-1.160382575,5.4827117833,8.2735546667,-0.3479334558,1.7323150627,2.7709656702,-0.2864659683,1.86820984,3.0832876605,-0.2864659683,1.86820984,3.0832876605,-0.2864659683,1.86820984,3.0832876605,382.9116166667,-372.5204166667,0.4416666867,0.0091503273,0.1950316887,0.3077491611,0.1522476885,0.1950316887,0.3077491611,0.1522476885,0.6001522994,2.7336500114,4.2944832604,0.6518668165,2.6303134132,4.0589576348,0.6518668165,2.6303134132,4.0589576348,0.6518668165,2.6303134132,4.0589576348,1631.30600015,1748.7471002511,0.1665207839,0.0059040994
8,James,A,-1.25295765,5.49548335,8.1969453333,-1.25295765,5.49548335,8.1969453333,-1.068010955,4.6316578767,6.8921027037,-1.05236561,4.6778513167,6.9959667333,-1.05236561,4.6778513167,6.9959667333,-1.05236561,4.6778513167,6.9959667333,307.1826166667,-475.1262833333,0.5875000067,0.0150326803,0.2145993423,0.1908944751,0.2079601022,0.2145993423,0.1908944751,0.2079601022,0.5946903147,2.2912578491,3.382466687,0.6312748433,2.1781774792,3.1281616154,0.6312748433,2.1781774792,3.1281616154,0.6312748433,2.1781774792,3.1281616154,1583.2558219619,1753.83307822,0.0306186381,0.0016009734
9,James,A,-1.1986872333,5.4723357333,8.3254316667,-1.1986872333,5.4723357333,8.3254316667,-0.1201655063,0.8519261702,1.408935539,-0.1201655063,0.8519261702,1.408935539,0.0813929237,-0.0499852498,0.060874939,0.0813929237,-0.0499852498,0.060874939,333.7384333333,-636.4654833333,0.47083335,0.0117647067,0.284765946,0.1810939325,0.1776376879,0.284765946,0.1810939325,0.1776376879,0.3560644622,2.1154852708,3.4408233739,0.3560644622,2.1154852708,3.4408233739,0.1772549752,0.1054212661,0.1400836005,0.1772549752,0.1054212661,0.1400836005,1759.3612187078,1865.5188836101,0.0510310281,0.0035075575
