TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,,,
19445522,-0.41897583,3.9528198,9.241608,-0.41897583,3.9528198,9.241608,-0.41897583,3.9528198,9.241608,-0.41897583,3.9528198,9.241608,-0.41897583,3.9528198,9.241608,-0.41897583,3.9528198,9.241608,229.5,1234,0,0,0.38750002,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",36
19445783,-0.7733154,3.9384613,8.77713,-0.7733154,3.9384613,8.77713,-0.7733154,3.9384613,8.77713,-0.7733154,3.9384613,8.77713,-0.14648438,0.05834961,-0.20739746,-0.14648438,0.05834961,-0.20739746,292,260,0,0,0.625,0.019607844," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",36
19445783,-0.7733154,3.9384613,8.77713,-0.7733154,3.9384613,8.77713,-0.7733154,3.9384613,8.77713,-0.7733154,3.9384613,8.77713,-0.14648438,0.05834961,-0.20739746,-0.14648438,0.05834961,-0.20739746,292,260,0,0,0.625,0.019607844," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",36
19445897,-0.6248779,3.8139496,9.394836,-0.6248779,3.8139496,9.394836,-0.6248779,3.8139496,9.394836,-0.6248779,3.8139496,9.394836,-0.6248779,3.8139496,9.394836,-0.6248779,3.8139496,9.394836,573.6791,199.06537,6563.706,-1448.2872,0.925,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",36
19445981,-0.47644043,3.703827,8.868118,-0.47644043,3.703827,8.868118,-0.47644043,3.703827,8.868118,-0.47644043,3.703827,8.868118,0.18418884,-0.07885742,-0.15531921,0.18418884,-0.07885742,-0.15531921,1079.5765,122.795654,4225.8975,-241.20358,0.925,0.019607844," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",36
19446165,-0.67755127,3.7181854,9.351746,-0.67755127,3.7181854,9.351746,-0.67755127,3.7181854,9.351746,-0.67755127,3.7181854,9.351746,-0.017501831,-0.026931763,0.31259155,-0.017501831,-0.026931763,0.31259155,764.19275,663.38257,-6118.9336,5958.888,0.925,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",36
19446248,-0.5434723,3.7660675,9.097961,-0.5434723,3.7660675,9.097961,0.028762817,-0.04473877,0,0.17190552,0.096832275,0.3522339,0.17190552,0.096832275,0.3522339,0.17190552,0.096832275,0.3522339,360.6072,1067.5574,-2769.0083,3017.3877,0.925,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19446342,-0.67276,3.6846619,8.69574,-0.67276,3.6846619,8.69574,-0.67276,3.6846619,8.69574,-0.67276,3.6846619,8.69574,-0.041885376,-0.12689209,-0.31767273,-0.041885376,-0.12689209,-0.31767273,222.5,1249,0,0,0.38750002,0.007843138," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",37
19446595,-1.0654144,3.914505,9.28949,-1.0654144,3.914505,9.28949,-1.0654144,3.914505,9.28949,-1.0654144,3.914505,9.28949,-1.0654144,3.914505,9.28949,-1.0654144,3.914505,9.28949,275,290,0,0,0.32500002,0.003921569," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",37
