TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern, TYPE_ACC0_Mean, TYPE_ACC1_Mean, TYPE_ACC2_Mean, TYPE_MAG0_Mean, TYPE_MAG1_Mean, TYPE_MAG2_Mean, TYPE_GYRO0_Mean, TYPE_GYRO1_Mean, TYPE_GYRO2_Mean, TYPE_ROTATION0_Mean, TYPE_ROTATION1_Mean, TYPE_ROTATION2_Mean, TYPE_LINEAR0_Mean, TYPE_LINEAR1_Mean, TYPE_LINEAR2_Mean, TYPE_GRAVITY0_Mean, TYPE_GRAVITY1_Mean, TYPE_GRAVITY2_Mean, velocity_x_Mean, velocity_y_Mean, pressure_Mean, size_Mean, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
19412959,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,271,247,0,0,0.3625,0.007843138,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",0,James,B,-1.82435606,20.6140289,55.262893,18.07377651,31.8440549,10.644104,18.07377651,31.8440549,10.644104,18.13586452,28.53822304,2.00230448,-1.379501327,13.92819216,37.42349245,-1.379501327,13.92819216,37.42349245,1200.4601,6605.80066,3.55,0.113725498,0.238874971,0.123720892,0.168717179,8.072783081,4.529681536,18.23859615,8.072783081,4.529681536,18.23859615,8.06834646,4.989660668,17.897558,0.271633361,1.798209682,4.730558034,0.271633361,1.798209682,4.730558034,3544.98076,1984.934974,0.207012479,0.009084733
19412959,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,-0.5243225,3.5888977,9.236816,271,247,0,0,0.3625,0.007843138,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",0,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19413102,0.10293579,3.3734283,8.939941,0.10293579,3.3734283,8.939941,0.10293579,3.3734283,8.939941,0.1650238,0.067596436,0.29814148,0.1650238,0.067596436,0.29814148,0.1650238,0.067596436,0.29814148,541.1228,221.65302,4855.1196,-470.34964,0.6375,0.027450982,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",0,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19413203,-0.41418457,3.320755,9.164993,19.483948,14.550781,-35.453796,19.483948,14.550781,-35.453796,19.483948,14.550781,-35.453796,-0.031417847,-0.059249878,-0.032608032,-0.031417847,-0.059249878,-0.032608032,1053.6783,188.74207,3084.5396,372.1364,0.6375,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",0,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19413470,-0.24180603,3.325531,9.217667,-0.24180603,3.325531,9.217667,-0.24180603,3.325531,9.217667,-0.24180603,3.325531,9.217667,-0.24180603,3.325531,9.217667,-0.24180603,3.325531,9.217667,819.47363,624.19836,-5277.4326,4790.9277,0.6375,0.019607844,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",0,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19413603,-0.22265625,3.4165192,9.46666,-0.22265625,3.4165192,9.46666,-0.22265625,3.4165192,9.46666,-0.22265625,3.4165192,9.46666,-0.22265625,3.4165192,9.46666,-0.22265625,3.4165192,9.46666,362.8997,1073.0542,-1461.7665,1913.0862,0.9125,0.027450982,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",0,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19413765,-0.26574707,3.5410156,9.648621,-0.26574707,3.5410156,9.648621,-0.26574707,3.5410156,9.648621,-0.26574707,3.5410156,9.648621,0.011062622,0.08589172,0.47509766,0.011062622,0.08589172,0.47509766,293.5,1205,0,0,0.425,0.011764707,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",1,James,B,-1.81236268,23.8677368,63.9777995,18.42240883,33.6312412,19.369859,18.42240883,33.6312412,19.369859,18.42240883,33.6312412,19.369859,19.27244544,23.45021086,-8.21745191,19.27244544,23.45021086,-8.21745191,7627.7474,2933.38173,5.15,0.145098049,0.100093581,0.136163083,0.281954895,7.662539158,3.608308402,16.92939728,7.662539158,3.608308402,16.92939728,7.662539158,3.608308402,16.92939728,7.61004442,4.585223147,15.82846104,7.61004442,4.585223147,15.82846104,3552.845141,1324.721307,0.137012121,0.0062885
19414055,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,249,251,0,0,0.7875,0.015686275,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",1,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19414055,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,-0.3040619,3.4069366,9.126694,249,251,0,0,0.7875,0.015686275,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",1,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19414220,-0.21786499,3.5888977,8.786713,-0.21786499,3.5888977,8.786713,-0.21786499,3.5888977,8.786713,-0.21786499,3.5888977,8.786713,-0.21786499,3.5888977,8.786713,-0.21786499,3.5888977,8.786713,630.18317,202.07361,6538.783,-740.39496,0.7875,0.023529414,"[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]",1,James,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
