 Counter,Name,Pattern, TYPE_ACC0_Mean, TYPE_ACC1_Mean, TYPE_ACC2_Mean, TYPE_MAG0_Mean, TYPE_MAG1_Mean, TYPE_MAG2_Mean, TYPE_GYRO0_Mean, TYPE_GYRO1_Mean, TYPE_GYRO2_Mean, TYPE_ROTATION0_Mean, TYPE_ROTATION1_Mean, TYPE_ROTATION2_Mean, TYPE_LINEAR0_Mean, TYPE_LINEAR1_Mean, TYPE_LINEAR2_Mean, TYPE_GRAVITY0_Mean, TYPE_GRAVITY1_Mean, TYPE_GRAVITY2_Mean, velocity_x_Mean, velocity_y_Mean, pressure_Mean, size_Mean, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
0,James,B,-1.82435606,20.6140289,55.262893,18.07377651,31.8440549,10.644104,18.07377651,31.8440549,10.644104,18.13586452,28.53822304,2.00230448,-1.379501327,13.92819216,37.42349245,-1.379501327,13.92819216,37.42349245,1200.4601,6605.80066,3.55,0.113725498,0.238874971,0.123720892,0.168717179,8.072783081,4.529681536,18.23859615,8.072783081,4.529681536,18.23859615,8.06834646,4.989660668,17.897558,0.271633361,1.798209682,4.730558034,0.271633361,1.798209682,4.730558034,3544.98076,1984.934974,0.207012479,0.009084733
1,James,B,-1.81236268,23.8677368,63.9777995,18.42240883,33.6312412,19.369859,18.42240883,33.6312412,19.369859,18.42240883,33.6312412,19.369859,19.27244544,23.45021086,-8.21745191,19.27244544,23.45021086,-8.21745191,7627.7474,2933.38173,5.15,0.145098049,0.100093581,0.136163083,0.281954895,7.662539158,3.608308402,16.92939728,7.662539158,3.608308402,16.92939728,7.662539158,3.608308402,16.92939728,7.61004442,4.585223147,15.82846104,7.61004442,4.585223147,15.82846104,3552.845141,1324.721307,0.137012121,0.0062885
2,James,B,-3.31590265,24.0066222,65.323334,37.60704075,42.1195674,-23.621952,37.60704075,42.1195674,-23.621952,38.31770359,38.69659381,-32.79289615,38.31770359,38.69659381,-32.79289615,38.31770359,38.69659381,-32.79289615,3631.9009,4479.10213,5.51250024,0.164705895,0.255838828,0.172621413,0.204248258,9.760647598,4.523584316,21.57297692,9.760647598,4.523584316,21.57297692,9.692257237,5.001643548,20.93140775,9.692257237,5.001643548,20.93140775,9.692257237,5.001643548,20.93140775,2822.086637,1642.583604,0.132287581,0.003921569
3,James,B,-2.588088951,25.0935824,64.169357,37.10279828,45.0496985,-24.931673,38.36801128,30.28414967,-60.97502304,38.36801128,30.28414967,-60.97502304,38.36801128,30.28414967,-60.97502304,38.36801128,30.28414967,-60.97502304,5255.1334,7581.104036,5.225,0.156862757,0.216184963,0.133317748,0.319150482,9.632824908,4.897657402,21.61721866,9.509369784,6.456082912,18.41945541,9.509369784,6.456082912,18.41945541,9.509369784,6.456082912,18.41945541,9.509369784,6.456082912,18.41945541,4632.260271,2349.872981,0.108664786,0.003730156
4,James,B,-2.20977783,25.2037047,64.504531,-2.20977783,25.2037047,64.504531,-2.11857605,21.5790708,55.77261297,-2.11857605,21.5790708,55.77261297,-2.11857605,21.5790708,55.77261297,-2.11857605,21.5790708,55.77261297,5182.1349,6592.75939,6.02500002,0.149019618,0.245685818,0.092720369,0.402927755,0.245685818,0.092720369,0.402927755,0.259121442,1.396984642,3.52907942,0.259121442,1.396984642,3.52907942,0.259121442,1.396984642,3.52907942,0.259121442,1.396984642,3.52907942,4900.622539,2569.546687,0.236227788,0.006738233
5,James,B,-2.03263853,25.0935669,65.299393,17.319702,36.778412,20.432877,17.20445237,33.54714978,11.37951698,17.20445237,33.54714978,11.37951698,17.79775986,26.53527847,-6.927581892,17.79775986,26.53527847,-6.927581892,3652.1816,6528.18165,5.3625,0.125490203,0.190321371,0.169575668,0.426800212,7.272817466,4.332032422,16.99946554,7.279372219,4.724383081,16.80534851,7.279372219,4.724383081,16.80534851,7.242152081,5.289683603,15.95737022,7.242152081,5.289683603,15.95737022,4663.706713,2381.059814,0.325617545,0.010585123
6,James,B,-2.41571039,25.1989137,64.772676,17.91482528,34.2889097,20.194686,-1.485565123,17.97543337,45.7105871,-1.26802057,18.04817201,45.99508722,-1.26802057,18.04817201,45.99508722,-1.26802057,18.04817201,45.99508722,3368.1588,6703.8128,5.0375,0.137254911,0.156532945,0.161244669,0.2989217,7.695458826,3.415592077,16.68698023,0.237048108,1.740277019,4.457919909,0.273477865,1.722544983,4.389529344,0.273477865,1.722544983,4.389529344,0.273477865,1.722544983,4.389529344,4214.772998,2420.512439,0.261790424,0.008471557
7,James,B,-2.30555726,24.7057037,63.589919,-2.30555726,24.7057037,63.589919,-2.30555726,24.7057037,63.589919,-2.30555726,24.7057037,63.589919,-2.01644898,21.18759156,54.4407945,-2.01644898,21.18759156,54.4407945,3906.1357,7370.109195,6.01250024,0.164705892,0.03244155,0.153377656,0.315316348,0.03244155,0.153377656,0.315316348,0.03244155,0.153377656,0.315316348,0.03244155,0.153377656,0.315316348,0.104005177,1.440714987,3.472691374,0.104005177,1.440714987,3.472691374,4513.228656,2359.527955,0.108664801,0.005545936
8,James,B,-2.72215272,24.9594881,64.4614255,37.80815158,41.3552391,-21.6169445,38.07862888,37.67643664,-31.11021553,39.13462863,30.58541797,-49.1643533,39.8839725,23.76063449,-67.53639288,39.8839725,23.76063449,-67.53639288,3484.8657,6740.46732,5.63750008,0.129411774,0.165825468,0.208434025,0.235337096,9.740530621,4.124222416,21.08437106,9.714473159,4.654350527,20.4354029,9.612169515,5.368957707,18.81620593,9.53806081,5.838420096,16.60307951,9.53806081,5.838420096,16.60307951,4304.573549,2110.579579,0.211745847,0.0062885
9,James,B,-2.16189573,24.4758758,64.04486,36.63210987,39.3619528,-25.010772,36.63210987,39.3619528,-25.010772,36.63210987,39.3619528,-25.010772,36.95698475,35.86897187,-34.16842594,36.95698475,35.86897187,-34.16842594,2549.8577,6513.36868,6.15000002,0.160784325,0.175240897,0.175649509,0.232516539,9.499041141,3.724161769,21.77993257,9.499041141,3.724161769,21.77993257,9.499041141,3.724161769,21.77993257,9.467783741,4.222600426,21.18196722,9.467783741,4.222600426,21.18196722,3980.217928,2120.959493,0.188982229,0.005740589
