TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern
19733714,-0.33517456,5.877762,7.917618,-0.33517456,5.877762,7.917618,-0.33517456,5.877762,7.917618,0.2363739,0.20915222,0.5969696,0.2363739,0.20915222,0.5969696,0.2363739,0.20915222,0.5969696,261,716,0,0,0.58750004,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,James,C
19733714,-0.33517456,5.877762,7.917618,-0.33517456,5.877762,7.917618,-0.33517456,5.877762,7.917618,0.2363739,0.20915222,0.5969696,0.2363739,0.20915222,0.5969696,0.2363739,0.20915222,0.5969696,261,716,0,0,0.58750004,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,James,C
19733846,-0.19152832,5.614395,8.429977,-0.19152832,5.614395,8.429977,-0.19152832,5.614395,8.429977,-0.19152832,5.614395,8.429977,-0.19152832,5.614395,8.429977,-0.19152832,5.614395,8.429977,609.86597,769.8093,6258.6294,1368.2306,0.85,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,James,C
19733929,-0.1484375,5.5234222,8.008591,-0.1484375,5.5234222,8.008591,-0.1484375,5.5234222,8.008591,-0.1484375,5.5234222,8.008591,-0.1484375,5.5234222,8.008591,-0.1484375,5.5234222,8.008591,1051.5542,768.3893,2436.2314,-781.3543,0.58750004,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,James,C
19734046,-0.5506592,5.954376,7.7356567,-0.5506592,5.954376,7.7356567,-0.5506592,5.954376,7.7356567,-0.5506592,5.954376,7.7356567,-0.5506592,5.954376,7.7356567,-0.5506592,5.954376,7.7356567,1232.7747,409.6482,-651.1591,-3902.4885,0.58750004,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,James,C
19734230,-0.46925354,5.7101593,8.085205,-0.46925354,5.7101593,8.085205,0.123565674,0.12461853,-0.09907532,0.123565674,0.12461853,-0.09907532,0.123565674,0.12461853,-0.09907532,0.123565674,0.12461853,-0.09907532,864.26465,154.09546,-6537.5864,666.91956,0.85,0.027450982,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,James,C
19734297,-0.7565613,5.504257,7.9319763,-0.7565613,5.504257,7.9319763,-0.7565613,5.504257,7.9319763,0.22018433,0.22802734,0.5924072,0.22018433,0.22802734,0.5924072,0.22018433,0.22802734,0.5924072,393.28613,249.5061,-5608.109,1662.2004,0.85,0.027450982,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,James,C
19734420,-0.64642334,6.5098267,8.908813,-0.64642334,6.5098267,8.908813,-0.64642334,6.5098267,8.908813,-0.64642334,6.5098267,8.908813,-0.64642334,6.5098267,8.908813,-0.64642334,6.5098267,8.908813,182,277.5,0,0,0.35,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,James,C
19734732,-0.6368561,6.5529175,8.080429,-0.6368561,6.5529175,8.080429,-0.6368561,6.5529175,8.080429,-0.6368561,6.5529175,8.080429,-0.071517944,0.27861023,0.5650177,-0.071517944,0.27861023,0.5650177,330,697,0,0,0.5125,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,James,C
19734732,-0.6368561,6.5529175,8.080429,-0.6368561,6.5529175,8.080429,-0.6368561,6.5529175,8.080429,-0.6368561,6.5529175,8.080429,-0.071517944,0.27861023,0.5650177,-0.071517944,0.27861023,0.5650177,330,697,0,0,0.5125,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,James,C
