 Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
0,James,C,-0.398112711,5.723161929,8.003806,-0.398112711,5.723161929,8.003806,-0.313424252,4.925227533,6.834623097,-0.010589602,2.551877644,3.694499397,-0.010589602,2.551877644,3.694499397,-0.010589602,2.551877644,3.694499397,-585.9991,-140.9274629,0.700000023,0.019607844,0.212035407,0.183065085,0.216098245,0.212035407,0.183065085,0.216098245,0.284791285,2.12476277,3.064890699,0.299068616,2.945467607,4.094114753,0.299068616,2.945467607,4.094114753,0.299068616,2.945467607,4.094114753,4421.855407,1861.0326,0.140312131,0.006792356
1,James,C,-4.79312138,50.3117067,64.3991695,21.60250896,31.5840307,35.7320545,21.60250896,31.5840307,35.7320545,21.60250896,31.5840307,35.7320545,24.69938705,0.56506389,-2.10997126,24.69938705,0.56506389,-2.10997126,-3499.1256,-1128.7854,4.67500004,0.129411774,0.196859416,0.215260248,0.411132733,9.315220079,6.688002028,10.06533584,9.315220079,6.688002028,10.06533584,9.315220079,6.688002028,10.06533584,9.162934713,5.85638518,8.889817921,9.162934713,5.85638518,8.889817921,4801.192065,2032.599345,0.160043249,0.004887936
2,James,C,-5.40602116,51.7529907,61.4399569,-5.40602116,51.7529907,61.4399569,-4.979797405,45.42942806,53.49516324,-3.102935805,32.26759326,39.74046304,-2.295517005,26.04206832,32.20666506,-2.295517005,26.04206832,32.20666506,345.6238,-2896.9611,4.75,0.141176478,0.341550942,0.314848685,0.269536644,0.341550942,0.314848685,0.269536644,0.420425896,2.294834618,2.72655527,0.58291378,3.193218771,3.810569701,0.58647951,3.332410756,3.916289247,0.58647951,3.332410756,3.916289247,5504.813334,2060.560401,0.171391365,0.005928855
3,James,C,-5.51138302,50.3595577,62.7854913,23.42642198,32.6628717,32.0042563,23.42642198,32.6628717,32.0042563,26.34956348,14.84861679,11.05853169,26.34956348,14.84861679,11.05853169,26.34956348,14.84861679,11.05853169,1900.9714,-3360.298532,4.60000008,0.141176481,0.267802237,0.328480047,0.39026597,10.20914645,6.463392942,10.82094684,10.20914645,6.463392942,10.82094684,10.07011173,6.36588239,10.42531492,10.07011173,6.36588239,10.42531492,10.07011173,6.36588239,10.42531492,5072.436519,1605.826791,0.226680247,0.008384667
4,James,C,-6.23445124,51.3938746,60.6929474,45.25141956,10.6860498,4.9388868,46.741303,4.07766664,-3.46940818,46.741303,4.07766664,-3.46940818,-1.830688444,18.83808882,23.01675398,-1.830688444,18.83808882,23.01675398,1594.2861,-1951.83124,4.6,0.129411775,0.193077949,0.153301396,0.395389069,11.97350368,9.459036739,12.99269822,11.86902046,9.230829267,12.6170296,11.86902046,9.230829267,12.6170296,0.601435163,3.428553072,3.78759133,0.601435163,3.428553072,3.78759133,4401.915491,1291.710247,0.207558081,0.008235962
5,James,C,-7.14901728,52.4185791,61.3777001,-7.14901728,52.4185791,61.3777001,-7.14901728,52.4185791,61.3777001,-7.14901728,52.4185791,61.3777001,-6.22709648,45.93583675,54.07748386,-6.22709648,45.93583675,54.07748386,-1984.5954,-3060.59991,4.7375,0.125490204,0.169820525,0.194377503,0.316423752,0.169820525,0.194377503,0.316423752,0.169820525,0.194377503,0.316423752,0.169820525,0.194377503,0.316423752,0.306992843,2.171042398,2.336856943,0.306992843,2.171042398,2.336856943,4775.644343,1686.117164,0.200883928,0.006952198
6,James,C,-8.15936276,52.509567,60.4295806,20.84713774,33.754638,30.9179836,20.84713774,33.754638,30.9179836,22.33409146,27.5081017,24.22164874,22.33409146,27.5081017,24.22164874,22.33409146,27.5081017,24.22164874,-3088.1053,-3385.94498,4.375,0.10588236,0.244163711,0.215241556,0.339189697,10.19811257,6.515821505,10.22253564,10.19811257,6.515821505,10.22253564,10.13103128,6.576125414,10.1764695,10.13103128,6.576125414,10.1764695,10.13103128,6.576125414,10.1764695,4599.106777,1229.158176,0.212210938,0.0072424
7,James,C,-7.30226134,52.0546722,60.4774788,-7.30226134,52.0546722,60.4774788,-4.87606809,38.75019849,44.08036835,-4.87606809,38.75019849,44.08036835,-4.87606809,38.75019849,44.08036835,-4.87606809,38.75019849,44.08036835,504.9936,-2040.67354,4.86250001,0.149019619,0.130053767,0.163286833,0.464235525,0.130053767,0.163286833,0.464235525,0.56472302,3.03902313,3.411277024,0.56472302,3.03902313,3.411277024,0.56472302,3.03902313,3.411277024,0.56472302,3.03902313,3.411277024,5029.263624,1953.116787,0.154679605,0.005835482
8,James,C,-8.3940124,51.858322,60.8653257,20.5390935,32.611938,32.4500123,20.5390935,32.611938,32.4500123,20.5390935,32.611938,32.4500123,22.61053511,19.7698971,17.77174373,22.61053511,19.7698971,17.77174373,-3587.1064,-5230.235311,4.38750001,0.121568637,0.201754489,0.14932869,0.438579937,10.14225631,6.808680847,10.36876204,10.14225631,6.808680847,10.36876204,10.14225631,6.808680847,10.36876204,10.04723895,6.757783703,10.11227631,10.04723895,6.757783703,10.11227631,4363.230386,1660.542705,0.19655941,0.007964744
9,James,C,-7.96302798,51.5949859,59.730485,50.51126192,13.1979827,2.9557963,51.97317598,0.72929382,-10.63221636,53.33827301,-5.59613038,-17.66761696,53.33827301,-5.59613038,-17.66761696,53.33827301,-5.59613038,-17.66761696,-5229.4184,-5174.36622,4.8625,0.129411774,0.198233927,0.351438636,0.601301614,13.41327544,8.907741937,13.26599546,13.30643419,8.471209999,12.69289581,13.20294039,8.063214548,12.21911002,13.20294039,8.063214548,12.21911002,13.20294039,8.063214548,12.21911002,5299.092994,1629.751342,0.150584798,0.00571662
