TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, position_x_MEAN, position_y_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, position_x_SD, position_y_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
19982271,0.86190796,4.960785,8.336609,0.86190796,4.960785,8.336609,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,736,192,0,0,0.425,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James,D,0.73357544,4.90715032,8.5156922,0.73357544,4.90715032,8.5156922,0.3960571292,2.9160186932,5.1801941076,0.3075653032,1.9454864332,3.5512451676,0.3075653032,1.9454864332,3.5512451676,0.3075653032,1.9454864332,3.5512451676,556.029352,593.076518,-924.618236,872.74534,0.59,0.0180392166,0.1792787504,0.0668170903,0.2191079513,0.1792787504,0.0668170903,0.2191079513,0.3707449607,2.6778937471,4.733047547,0.331005332,2.6502998898,4.7045232415,0.331005332,2.6502998898,4.7045232415,0.331005332,2.6502998898,4.7045232415,219.7037463617,418.2677726746,1608.2209747335,3602.4562647061,0.1506237033,0.0035075583
19982271,0.86190796,4.960785,8.336609,0.86190796,4.960785,8.336609,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,0.018112183,-0.017044067,-0.002136231,736,192,0,0,0.425,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19982412,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,0.8092346,4.7979736,8.87291,671.8233,565.96906,-1796.0687,5730.2007,0.7,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19982529,0.6990967,4.917679,8.504196,0.6990967,4.917679,8.504196,0.6990967,4.917679,8.504196,0.25663757,0.0650177,0.3594513,0.25663757,0.0650177,0.3594513,0.25663757,0.0650177,0.3594513,347.57114,1137.1202,-3336.816,2629.644,0.7,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19982695,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,0.43572998,4.898529,8.528137,288.75232,878.29333,509.79352,-3996.118,0.7,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19982800,0.46446228,5.1379547,8.480255,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,13.046265,-5.809021,-40.631104,297,721,0,0,0.7,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James,D,0.4285558067,5.1994018333,8.4778595,2.5255229267,3.3749058833,0.292633,2.5255229267,3.3749058833,0.292633,2.5255229267,3.3749058833,0.292633,2.5255229267,3.3749058833,0.292633,2.5255229267,3.3749058833,0.292633,463.3412183333,624.2853166667,-329.1876166667,-48.3283833333,0.6583333667,0.0169934648,0.042482869,0.0475382593,0.2015872224,5.1542350232,4.4993373763,20.0494682234,5.1542350232,4.4993373763,20.0494682234,5.1542350232,4.4993373763,20.0494682234,5.1542350232,4.4993373763,20.0494682234,5.1542350232,4.4993373763,20.0494682234,216.5158225189,335.533250641,1363.5856242594,3643.9650813931,0.0204123982,0.0032019481
19983085,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,673,238,0,0,0.65000004,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19983085,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,0.45968628,5.214569,8.417999,673,238,0,0,0.65000004,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19983213,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,0.43095398,5.2768097,8.815445,632.4729,612.6427,-251.5733,3656.083,0.65000004,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19983397,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,0.39743042,5.1762543,8.197739,275.94495,1064.6361,-2910.9724,2783.748,0.65000004,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19983547,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,0.3591156,5.1762543,8.53772,228.62946,871.4331,1187.42,-6729.8013,0.65000004,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19983685,0.4453125,5.008667,9.117111,14.263916,-6.3308716,-39.79492,14.263916,-6.3308716,-39.79492,0.26106262,0.08337402,0.37776184,0.26106262,0.08337402,0.37776184,0.26106262,0.08337402,0.37776184,275,630,0,0,0.2875,0.003921569,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James,D,0.4987843833,5.1986007833,8.686157,2.8018849667,3.3086776833,0.5341518333,2.8018849667,3.3086776833,0.5341518333,0.46807607,4.37771862,7.2295988067,0.3849283852,3.531867985,5.8335289833,0.3849283852,3.531867985,5.8335289833,510.028085,573.3057233333,-436.9967,185.38465,0.5729166667,0.0143790862,0.0801488348,0.1127316118,0.3150593347,5.6157363645,4.7228242553,19.7585135485,5.6157363645,4.7228242553,19.7585135485,0.1265808595,2.104753046,3.3648372942,0.2332394004,2.6244706896,4.2245816595,0.2332394004,2.6244706896,4.2245816595,247.953211132,354.2702883906,1852.0647574153,4449.0080830946,0.2508008008,0.0088271605
19983865,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,759,181,0,0,0.375,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19983865,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,0.59854126,5.281601,8.623901,759,181,0,0,0.375,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19983981,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,0.45010376,5.1187897,8.820236,684.43066,551.33264,-956.1866,6268.9414,0.8,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19984181,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,0.4165802,5.219345,8.159439,324.17007,1080.2828,-3660.8633,2247.6292,0.8,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19984348,0.48362732,5.281601,8.772354,0.48362732,5.281601,8.772354,0.48362732,5.281601,8.772354,0.48362732,5.281601,8.772354,-0.015258789,0.20649719,0.39593506,-0.015258789,0.20649719,0.39593506,258.56778,816.2189,1995.0697,-7404.2627,0.8,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",2,James,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
