 Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, position_x_MEAN, position_y_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, position_x_SD, position_y_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
0,James,D,0.73357544,4.90715032,8.5156922,0.73357544,4.90715032,8.5156922,0.3960571292,2.9160186932,5.1801941076,0.3075653032,1.9454864332,3.5512451676,0.3075653032,1.9454864332,3.5512451676,0.3075653032,1.9454864332,3.5512451676,556.029352,593.076518,-924.618236,872.74534,0.59,0.0180392166,0.1792787504,0.0668170903,0.2191079513,0.1792787504,0.0668170903,0.2191079513,0.3707449607,2.6778937471,4.733047547,0.331005332,2.6502998898,4.7045232415,0.331005332,2.6502998898,4.7045232415,0.331005332,2.6502998898,4.7045232415,219.7037463617,418.2677726746,1608.2209747335,3602.4562647061,0.1506237033,0.0035075583
1,James,D,0.4285558067,5.1994018333,8.4778595,2.5255229267,3.3749058833,0.292633,2.5255229267,3.3749058833,0.292633,2.5255229267,3.3749058833,0.292633,2.5255229267,3.3749058833,0.292633,2.5255229267,3.3749058833,0.292633,463.3412183333,624.2853166667,-329.1876166667,-48.3283833333,0.6583333667,0.0169934648,0.042482869,0.0475382593,0.2015872224,5.1542350232,4.4993373763,20.0494682234,5.1542350232,4.4993373763,20.0494682234,5.1542350232,4.4993373763,20.0494682234,5.1542350232,4.4993373763,20.0494682234,5.1542350232,4.4993373763,20.0494682234,216.5158225189,335.533250641,1363.5856242594,3643.9650813931,0.0204123982,0.0032019481
2,James,D,0.4987843833,5.1986007833,8.686157,2.8018849667,3.3086776833,0.5341518333,2.8018849667,3.3086776833,0.5341518333,0.46807607,4.37771862,7.2295988067,0.3849283852,3.531867985,5.8335289833,0.3849283852,3.531867985,5.8335289833,510.028085,573.3057233333,-436.9967,185.38465,0.5729166667,0.0143790862,0.0801488348,0.1127316118,0.3150593347,5.6157363645,4.7228242553,19.7585135485,5.6157363645,4.7228242553,19.7585135485,0.1265808595,2.104753046,3.3648372942,0.2332394004,2.6244706896,4.2245816595,0.2332394004,2.6244706896,4.2245816595,247.953211132,354.2702883906,1852.0647574153,4449.0080830946,0.2508008008,0.0088271605
3,James,D,0.4365387,5.1922200667,8.6095405,3.0412445,3.4352849667,0.5412901667,3.0412445,3.4352849667,0.5412901667,2.9632924333,0.8935114917,-3.5677186567,2.9632924333,0.8935114917,-3.5677186567,2.9632924333,0.8935114917,-3.5677186567,543.4992,592.878535,-350.2787666667,595.86,0.6541666667,0.0183006552,0.0969794839,0.1309124537,0.1690497553,6.436595345,4.3599529454,19.8434157803,6.436595345,4.3599529454,19.8434157803,6.4747701489,4.0187494481,18.2875264841,6.4747701489,4.0187494481,18.2875264841,6.4747701489,4.0187494481,18.2875264841,239.095048873,369.6988397203,1269.7801689061,3495.0558187995,0.1735055234,0.0068674127
4,James,D,0.42855072,5.1403426333,8.6143288333,0.42855072,5.1403426333,8.6143288333,0.42855072,5.1403426333,8.6143288333,0.42855072,5.1403426333,8.6143288333,0.361541748,4.281822141,7.2251712813,0.361541748,4.281822141,7.2251712813,535.253985,606.4363833333,-274.8621,369.5187166667,0.5770833533,0.0124183015,0.0620453029,0.1854226238,0.244764411,0.0620453029,0.1854226238,0.244764411,0.0620453029,0.1854226238,0.244764411,0.0620453029,0.1854226238,0.244764411,0.2048352899,2.0721838244,3.5491299221,0.2048352899,2.0721838244,3.5491299221,235.8274687292,365.2914395544,933.6250336288,3367.8829965291,0.2180047045,0.0071954823
5,James,D,0.3567301433,5.1938146167,8.6925431667,0.3567301433,5.1938146167,8.6925431667,0.3567301433,5.1938146167,8.6925431667,0.31920624,4.3914896817,7.298428925,0.31920624,4.3914896817,7.298428925,0.31920624,4.3914896817,7.298428925,517.2741716667,596.627255,-617.7990633333,968.8090666667,0.7854166733,0.0189542495,0.1224832851,0.1583386777,0.2554966991,0.1224832851,0.1583386777,0.2554966991,0.1224832851,0.1583386777,0.2554966991,0.1096466566,2.1065533259,3.3899305061,0.1096466566,2.1065533259,3.3899305061,0.1096466566,2.1065533259,3.3899305061,234.1264653534,362.7285671827,1213.657794637,2888.9049270004,0.0051030873,0.0038556554
6,James,D,0.3519414267,5.18503575,8.4730681667,0.3519414267,5.18503575,8.4730681667,0.3519414267,5.18503575,8.4730681667,0.3519414267,5.18503575,8.4730681667,0.2347284943,3.4470215233,5.7070720257,0.2347284943,3.4470215233,5.7070720257,517.6731616667,610.2519733333,-486.041186,202.0432166667,0.69375,0.0183006545,0.1341017717,0.080550265,0.2971415139,0.1341017717,0.080550265,0.2971415139,0.1341017717,0.080550265,0.2971415139,0.1341017717,0.080550265,0.2971415139,0.2779816109,2.6635044389,4.4712395125,0.2779816109,2.6635044389,4.4712395125,246.1692791502,375.6477332527,1258.1455555649,2636.8176751938,0.0459279327,0.003201948
7,James,D,0.4333470667,5.2289250333,8.5488893333,2.9114557267,3.4291712,0.770658,2.9114557267,3.4291712,0.770658,2.9114557267,3.4291712,0.770658,2.742141661,0.8190968707,-3.3766987883,2.742141661,0.8190968707,-3.3766987883,511.4588816667,630.88942,-338.7778016667,1095.8658666667,0.59375,0.0163398702,0.1371796141,0.1435890276,0.1542937249,6.1589712542,4.5265292471,18.9741850596,6.1589712542,4.5265292471,18.9741850596,6.1589712542,4.5265292471,18.9741850596,6.245284667,4.146305863,17.3968955978,6.245284667,4.146305863,17.3968955978,263.4556453484,344.2002883828,1238.6928856914,3529.6648937121,0.1684024198,0.0067545159
8,James,D,0.3918457033,5.2233428667,8.5033975,5.9805577533,1.1509322833,-7.3571958333,5.9805577533,1.1509322833,-7.3571958333,3.1302566183,0.4014332773,-3.5518671833,3.0831959697,-0.477462806,-4.929056885,3.0831959697,-0.477462806,-4.929056885,534.19089,622.357735,-370.6436434383,494.9775166667,0.56666667,0.0156862758,0.1877743418,0.2203578311,0.1471656486,8.5747481215,6.5305427215,24.4806652075,8.5747481215,6.5305427215,24.4806652075,6.9047712744,5.1031297597,17.9413680855,6.9294114754,4.4527705842,17.1328641259,6.9294114754,4.4527705842,17.1328641259,264.9454629296,342.3624279965,1118.9524398279,2612.4241287694,0.1871941912,0.0074406539
9,James,D,0.4038162267,5.3135249667,8.4196013333,3.1298142133,3.6403733,0.4227955,0.341921492,4.4529317883,7.001261234,0.2785415687,2.719279035,4.413767454,0.2785415687,2.719279035,4.413767454,0.2785415687,2.719279035,4.413767454,515.08903,609.157,-557.1937083095,1003.9406333333,0.5458333333,0.0156862752,0.1231539272,0.1190261996,0.2149727894,6.6494487556,4.2035288754,19.5407390519,0.2166234507,2.2135162099,3.4321283828,0.1984488501,2.926681807,4.538295431,0.1984488501,2.926681807,4.538295431,0.1984488501,2.926681807,4.538295431,235.2605179835,358.2728789675,1166.350876002,3011.4734611118,0.1326806944,0.0060752682
