TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name
17726677,-0.6512146,6.4882813,7.5130005,-0.6512146,6.4882813,7.5130005,-0.6512146,6.4882813,7.5130005,0.34373474,-0.08267212,-0.2898407,0.34373474,-0.08267212,-0.2898407,0.34373474,-0.08267212,-0.2898407,262,735,0,0,0.675,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,Matt
17726677,-0.6512146,6.4882813,7.5130005,-0.6512146,6.4882813,7.5130005,-0.6512146,6.4882813,7.5130005,0.34373474,-0.08267212,-0.2898407,0.34373474,-0.08267212,-0.2898407,0.34373474,-0.08267212,-0.2898407,262,735,0,0,0.675,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,Matt
17726873,0.13885498,5.9711304,7.3741302,0.13885498,5.9711304,7.3741302,0.13885498,5.9711304,7.3741302,0.32521057,-0.09542847,-0.32176208,0.32521057,-0.09542847,-0.32176208,0.32521057,-0.09542847,-0.32176208,548.19824,1165.5728,2093.3574,2539.9956,0.675,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,Matt
17727106,-0.59375,6.4930725,7.9487457,-0.59375,6.4930725,7.9487457,-0.59375,6.4930725,7.9487457,-0.59375,6.4930725,7.9487457,-0.59375,6.4930725,7.9487457,-0.59375,6.4930725,7.9487457,1095.5841,831.2051,2213.1384,-2345.18,0.675,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,Matt
17727373,-1.3024445,7.350189,6.1961823,-1.3024445,7.350189,6.1961823,-1.3024445,7.350189,6.1961823,-1.3024445,7.350189,6.1961823,-1.3024445,7.350189,6.1961823,-1.3024445,7.350189,6.1961823,799.98987,398.78253,-2316.7346,-1475.5073,0.675,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",0,Matt
17727477,-0.6799469,6.7276917,7.642288,-0.6799469,6.7276917,7.642288,-0.6799469,6.7276917,7.642288,0.3537445,-0.12261963,-0.4048767,0.3537445,-0.12261963,-0.4048767,0.3537445,-0.12261963,-0.4048767,686,329,0,0,0.35,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,Matt
17727702,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,205,774,0,0,0.32500002,0.003921569,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,Matt
17727702,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,-1.2306061,7.369339,6.4260254,205,774,0,0,0.32500002,0.003921569,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,Matt
17727957,0.19152832,5.894516,7.977478,0.19152832,5.894516,7.977478,0.19152832,5.894516,7.977478,0.19152832,5.894516,7.977478,0.19152832,5.894516,7.977478,0.19152832,5.894516,7.977478,565.8495,1178.4955,1558.4916,2076.8518,0.6625,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,Matt
17728208,-0.004776001,6.5361633,6.8138885,-0.004776001,6.5361633,6.8138885,-0.004776001,6.5361633,6.8138885,0.32087708,-0.16972351,-0.49389648,0.32087708,-0.16972351,-0.49389648,0.32087708,-0.16972351,-0.49389648,1126.1134,834.42957,2343.823,-2604.6836,0.6625,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,Matt
17728475,-0.5793915,6.62236,6.780365,-10.0997925,-7.0266724,-2.3895264,-10.0997925,-7.0266724,-2.3895264,-10.0997925,-7.0266724,-2.3895264,-10.0997925,-7.0266724,-2.3895264,-10.0997925,-7.0266724,-2.3895264,859.6319,350.82928,-3095.6912,-2737.127,0.6625,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",1,Matt
17728593,-1.3024445,7.182602,6.8138885,-1.3024445,7.182602,6.8138885,-1.3024445,7.182602,6.8138885,0.3334198,-0.17802429,-0.53778076,0.3334198,-0.17802429,-0.53778076,0.3334198,-0.17802429,-0.53778076,685,220,0,0,0.6625,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,Matt
17729024,-1.7046661,7.6518555,6.5361633,-4.3563843,-11.376953,-1.8890381,-4.3563843,-11.376953,-1.8890381,-4.3563843,-11.376953,-1.8890381,-4.3563843,-11.376953,-1.8890381,-4.3563843,-11.376953,-1.8890381,250,699,0,0,0.675,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,Matt
17729024,-1.7046661,7.6518555,6.5361633,-4.3563843,-11.376953,-1.8890381,-4.3563843,-11.376953,-1.8890381,-4.3563843,-11.376953,-1.8890381,-4.3563843,-11.376953,-1.8890381,-4.3563843,-11.376953,-1.8890381,250,699,0,0,0.675,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,Matt
17729209,-0.19631958,7.4459534,6.914444,-0.19631958,7.4459534,6.914444,-0.19631958,7.4459534,6.914444,-0.19631958,7.4459534,6.914444,-0.19631958,7.4459534,6.914444,-0.19631958,7.4459534,6.914444,571.3124,1215.3713,2209.6538,3772.1,1.1,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,Matt
17729442,-1.5274963,6.9671173,7.3310394,-1.5274963,6.9671173,7.3310394,-1.5274963,6.9671173,7.3310394,-1.5274963,6.9671173,7.3310394,0.44577026,-0.19482422,0.9293976,0.44577026,-0.19482422,0.9293976,1062.7284,826.376,1504.429,-1898.2128,0.83750004,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,Matt
17729709,-3.720581,7.6279144,5.937607,-3.720581,7.6279144,5.937607,0.13209534,0.2950592,-0.15020752,0.13209534,0.2950592,-0.15020752,0.13209534,0.2950592,-0.15020752,0.13209534,0.2950592,-0.15020752,809.3972,382.64227,-2333.2139,-1814.7178,0.83750004,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",2,Matt
17729862,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,-3.289627,7.9487457,4.6112213,657,233,0,0,0.83750004,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730079,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,209,683,0,0,1.1,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730079,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,-3.198639,7.3980713,5.5928497,209,683,0,0,1.1,0.03137255,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730260,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,-1.8243713,6.598419,7.278366,556.3719,1170.8044,1862.2808,2413.1526,0.8,0.019607844,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730477,-2.4660187,6.7420654,7.1490784,-2.6168823,-12.770081,1.1169434,-2.6168823,-12.770081,1.1169434,-2.6168823,-12.770081,1.1169434,-2.6168823,-12.770081,1.1169434,-2.6168823,-12.770081,1.1169434,1083.8336,847.4164,2632.6658,-3402.0298,0.8,0.015686275,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730744,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,-3.5912933,7.5800323,4.6782684,860.01605,333.21027,-3300.4329,-2133.2632,0.8,0.027450982,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",3,Matt
17730916,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,-3.720581,7.230484,4.539398,587.30743,204,0,0,0.45000002,0.011764707,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",4,Matt
17731109,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,187,631,0,0,1.15,0.03529412,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",4,Matt
17731109,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,-3.605667,7.383713,5.075699,187,631,0,0,1.15,0.03529412,"[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]",4,Matt
