 Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN,velocity_x_MEAN,velocity_y_MEAN,pressure_MEAN,size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
0,Matt,A,-0.611953744,6.5581909,7.30901184,-0.611953744,6.5581909,7.30901184,-0.611953744,6.5581909,7.30901184,-0.17670289,2.716497758,2.648696904,-0.17670289,2.716497758,2.648696904,-0.17670289,2.716497758,2.648696904,397.95224,-256.13834,0.675,0.0172549028,0.5108584515,0.4964665476,0.658618278,0.5108584515,0.4964665476,0.658618278,0.5108584515,0.4964665476,0.658618278,0.7474707752,3.8506896925,4.08560898,0.7474707752,3.8506896925,4.08560898,0.7474707752,3.8506896925,4.08560898,1861.152604028,1857.4535274592,0,0.0035075576
1,Matt,A,-0.5889663802,6.7532348333,7.0110117167,-2.1756998802,4.4783961,5.4826964833,-2.1756998802,4.4783961,5.4826964833,-1.9491424667,2.2190297433,2.9235382033,-1.9491424667,2.2190297433,2.9235382033,-1.9491424667,2.2190297433,2.9235382033,134.4372333333,-544.1598,0.4979166733,0.0124183013,0.5970297429,0.5588322552,0.6494675164,3.9276355527,5.6635825236,3.9092575903,3.9276355527,5.6635825236,3.9092575903,4.0621283467,5.7137210663,4.4958425608,4.0621283467,5.7137210663,4.4958425608,4.0621283467,5.7137210663,4.4958425608,1865.3292529802,1833.7336197924,0.1805229595,0.007195482
2,Matt,A,-1.6926955967,7.42121635,6.6782175833,-2.5766016633,1.0782801833,3.8698171167,-1.93448894,-0.14386235,2.8551813633,-1.66184489,-1.3706333983,1.6299031533,-1.33296713,-2.5642903183,0.5629628533,-1.33296713,-2.5642903183,0.5629628533,230.1448166667,9.8615666667,0.79791668,0.0209150338,1.1429202688,0.2873560843,0.4667437663,1.7907418869,9.6504070929,4.4837919371,1.979306988,9.1039081476,4.6093357327,2.1856899128,8.3868945592,4.3142292269,2.352072727,7.4164080416,3.2930366841,2.352072727,7.4164080416,3.2930366841,1566.6501725157,2055.4594345177,0.1690814683,0.0059040995
3,Matt,A,-2.92809805,7.2775675,5.8171055833,-2.9532419833,4.0255431,4.81174975,-2.9532419833,4.0255431,4.81174975,-2.9532419833,4.0255431,4.81174975,-2.9532419833,4.0255431,4.81174975,-2.9532419833,4.0255431,4.81174975,199.0856166667,-520.3567333333,0.9062500067,0.0235294127,0.6555373364,0.5136171039,1.1628518416,0.6368972617,8.239981606,2.050075749,0.6368972617,8.239981606,2.050075749,0.6368972617,8.239981606,2.050075749,0.6368972617,8.239981606,2.050075749,0.6368972617,8.239981606,2.050075749,2052.0265994065,2016.100063583,0.1507792224,0.0074406536
4,Matt,A,-3.1340051833,7.0780513,5.7412873333,-3.1340051833,7.0780513,5.7412873333,-2.5507100033,6.0615819717,4.5629629167,-2.5507100033,6.0615819717,4.5629629167,-2.5507100033,6.0615819717,4.5629629167,-2.5507100033,6.0615819717,4.5629629167,-75.2909333333,-531.8595166667,0.8583333367,0.0241830078,0.6503626811,0.3141514733,1.0284525788,0.6503626811,0.3141514733,1.0284525788,1.615084149,2.7284951905,2.4418004309,1.615084149,2.7284951905,2.4418004309,1.615084149,2.7284951905,2.4418004309,1.615084149,2.7284951905,2.4418004309,1961.7708561374,1416.2046114892,0.2634704222,0.0109289183
5,Matt,A,-3.2497228167,7.00941475,5.40291085,-3.2497228167,7.00941475,5.40291085,-3.2497228167,7.00941475,5.40291085,-3.2497228167,7.00941475,5.40291085,-3.2497228167,7.00941475,5.40291085,-3.2497228167,7.00941475,5.40291085,-76.2065833333,-554.99965,0.7687500133,0.0209150338,0.8561309221,0.187484642,0.9335369134,0.8561309221,0.187484642,0.9335369134,0.8561309221,0.187484642,0.9335369134,0.8561309221,0.187484642,0.9335369134,0.8561309221,0.187484642,0.9335369134,0.8561309221,0.187484642,0.9335369134,2297.4743228986,1419.2617547427,0.1918251266,0.0073015639
6,Matt,A,-3.1044743833,7.4268060667,5.35581975,-3.1044743833,7.4268060667,5.35581975,-3.1044743833,7.4268060667,5.35581975,-3.1044743833,7.4268060667,5.35581975,-1.93550873,4.9924493867,3.5138397067,-1.93550873,4.9924493867,3.5138397067,199.4095333333,-492.6562666667,0.73125,0.0202614397,1.0196683927,0.4670878674,1.2063224071,1.0196683927,0.4670878674,1.2063224071,1.0196683927,0.4670878674,1.2063224071,1.0196683927,0.4670878674,1.2063224071,1.9969695244,3.8730227839,3.1032115207,1.9969695244,3.8730227839,3.1032115207,1545.176855264,1500.0208866309,0.2045956378,0.0052123934
7,Matt,A,-2.9943389667,7.2767691333,5.5984319667,-2.9943389667,7.2767691333,5.5984319667,-1.9204152333,4.9405925153,3.67576346,-1.9204152333,4.9405925153,3.67576346,-1.9204152333,4.9405925153,3.67576346,-1.9204152333,4.9405925153,3.67576346,306.074,-514.4493666667,0.85625005,0.0228758178,0.7637903475,0.2531156149,0.5423357688,0.7637903475,0.2531156149,0.5423357688,1.8250359702,3.7541011994,2.9766483193,1.8250359702,3.7541011994,2.9766483193,1.8250359702,3.7541011994,2.9766483193,1.8250359702,3.7541011994,2.9766483193,1451.0600078107,1694.3777720791,0.2392370888,0.010049219
8,Matt,A,-2.7437489333,6.9599380833,6.0565236333,-0.4667459667,-1.01443225,5.1658528333,-0.4667459667,-1.01443225,5.1658528333,0.1016693617,-2.2585703367,4.2616373333,0.1016693617,-2.2585703367,4.2616373333,0.1016693617,-2.2585703367,4.2616373333,194.8446833333,-293.1228666667,0.9833333333,0.026797387,1.1092205788,0.3081566534,0.9754566182,3.6299514331,12.3446976504,1.8484262756,3.6299514331,12.3446976504,1.8484262756,3.3804525427,11.72862024,3.1098868164,3.3804525427,11.72862024,3.1098868164,3.3804525427,11.72862024,3.1098868164,1508.6767424199,1214.6939414439,0.172058614,0.009084733
9,Matt,A,-3.53223675,7.54332485,5.1531142833,-3.53223675,7.54332485,5.1531142833,-3.53223675,7.54332485,5.1531142833,-3.53223675,7.54332485,5.1531142833,-3.0691859067,6.3575236533,4.1280262862,-3.0691859067,6.3575236533,4.1280262862,441.8649166667,-481.9364,0.74166667,0.0202614388,1.0248508243,0.468358635,0.7688787091,1.0248508243,0.468358635,0.7688787091,1.0248508243,0.468358635,0.7688787091,1.0248508243,0.468358635,0.7688787091,1.9921659439,3.3029014417,2.1421984972,1.9921659439,3.3029014417,2.1421984972,1542.614940118,2042.6483102506,0.244523339,0.0103507628
