 Counter,Name,Pattern, TYPE_ACC0_Mean, TYPE_ACC1_Mean, TYPE_ACC2_Mean, TYPE_MAG0_Mean, TYPE_MAG1_Mean, TYPE_MAG2_Mean, TYPE_GYRO0_Mean, TYPE_GYRO1_Mean, TYPE_GYRO2_Mean, TYPE_ROTATION0_Mean, TYPE_ROTATION1_Mean, TYPE_ROTATION2_Mean, TYPE_LINEAR0_Mean, TYPE_LINEAR1_Mean, TYPE_LINEAR2_Mean, TYPE_GRAVITY0_Mean, TYPE_GRAVITY1_Mean, TYPE_GRAVITY2_Mean, velocity_x_Mean, velocity_y_Mean, pressure_Mean, size_Mean, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
0,Matt,B,-6.20094297,41.9320065,40.1842194,-6.20094297,41.9320065,40.1842194,-5.6007385,35.01298493,32.92803955,-3.34080501,21.47399869,20.44935618,-2.9873962,21.50790371,20.78779613,-2.9873962,21.50790371,20.78779613,4742.3829,8093.57551,4.225,0.121568636,0.405474328,0.215529565,0.56440996,0.405474328,0.215529565,0.56440996,0.530250713,2.886183191,2.674041506,0.878796215,3.934960287,3.806634022,0.918669934,3.928742369,3.750087416,0.918669934,3.928742369,3.750087416,5399.033836,2667.644005,0.167829278,0.003855656
1,Matt,B,-6.50021361,48.7291258,48.3460694,2.35911559,24.3769988,10.3254703,4.43962101,9.95919784,-2.441726254,4.43962101,9.95919784,-2.441726254,4.472595242,10.42689498,-3.29751543,4.472595242,10.42689498,-3.29751543,3040.3937,12535.0968,5.9,0.14117648,0.40763044,0.270402797,0.562084837,2.376210679,6.057123627,8.98359682,2.19932487,5.669778673,8.291790409,2.19932487,5.669778673,8.291790409,2.198255091,5.648959131,8.298117648,2.198255091,5.648959131,8.298117648,6504.759606,3920.156525,0.166435852,0.008296867
2,Matt,B,-4.84342951,47.5799408,51.3483891,8.31033339,23.7081297,13.3199315,8.649490495,17.227783,5.30265853,8.649490495,17.227783,5.30265853,8.649490495,17.227783,5.30265853,8.649490495,17.227783,5.30265853,7069.1104,7250.2261,5.6,0.145098049,0.423272189,0.211215928,0.512614973,3.070478145,5.750900266,8.928795516,3.044177638,5.650025015,8.540896222,3.044177638,5.650025015,8.540896222,3.044177638,5.650025015,8.540896222,3.044177638,5.650025015,8.540896222,5885.398622,2699.034361,0.198431348,0.007056749
3,Matt,B,-5.85853576,47.4410403,50.668442,-0.63404846,35.0870211,31.692138,0.69879147,21.57142658,17.36213638,4.60179144,1.403091396,-3.242294891,4.60179144,1.403091396,-3.242294891,4.60179144,1.403091396,-3.242294891,-407.15,10848.62703,5.05000014,0.121568634,0.326284422,0.123431828,0.504972074,1.823287884,4.619770279,6.814099907,1.786471671,4.94695698,6.7681908,1.512536019,3.533617835,5.383844153,1.512536019,3.533617835,5.383844153,1.512536019,3.533617835,5.383844153,4913.861319,3131.578888,0.222405666,0.00634646
4,Matt,B,-5.76757807,46.9574276,51.5686491,-5.76757807,46.9574276,51.5686491,-4.221084548,33.43637071,36.77728246,-4.221084548,33.43637071,36.77728246,-3.263275098,26.89884939,29.53077674,-3.263275098,26.89884939,29.53077674,3063.6086,6177.6948,4.775,0.121568635,0.108485983,0.211880324,0.218767777,0.108485983,0.211880324,0.218767777,0.367891875,3.334763784,3.591739469,0.367891875,3.334763784,3.591739469,0.48630172,3.65307475,3.883096217,0.48630172,3.65307475,3.883096217,4031.016111,2141.74482,0.218047341,0.005479515
5,Matt,B,-6.22247313,46.497757,51.5686488,5.01477047,22.7728124,10.333878,6.619155798,15.5596165,2.76797531,6.619155798,15.5596165,2.76797531,7.492294238,9.070282388,-4.532378615,7.492294238,9.070282388,-4.532378615,3106.4311,7733.17295,5.425,0.125490203,0.406963521,0.314494607,0.347589207,2.746108817,5.723575056,9.831409026,2.581967993,5.532818582,9.453795168,2.581967993,5.532818582,9.453795168,2.491084709,5.219267631,8.968322236,2.491084709,5.219267631,8.968322236,4655.076101,2394.62703,0.23150324,0.00634646
6,Matt,B,-7.07479857,46.5935055,50.8216705,-0.63600157,36.5024563,30.0233458,-0.63600157,36.5024563,30.0233458,-0.63600157,36.5024563,30.0233458,-0.63600157,36.5024563,30.0233458,-0.63600157,36.5024563,30.0233458,6975.8332,4245.06173,5.53750024,0.129411771,0.24811609,0.272336782,0.278587931,2.578324854,3.947242863,7.735560622,2.578324854,3.947242863,7.735560622,2.578324854,3.947242863,7.735560622,2.578324854,3.947242863,7.735560622,2.578324854,3.947242863,7.735560622,4736.926199,1910.550782,0.122838469,0.008073191
7,Matt,B,-7.56802377,47.1633307,50.4433746,16.01754783,9.8092495,-6.3856195,18.92677332,-10.32150315,-28.628631,18.92677332,-10.32150315,-28.628631,18.92677332,-10.32150315,-28.628631,18.92677332,-10.32150315,-28.628631,2117.8871,7864.501427,4.6,0.101960788,0.392948634,0.238829446,0.25451933,4.18585639,6.585612172,10.34101859,3.801562877,4.546317227,7.813075734,3.801562877,4.546317227,7.813075734,3.801562877,4.546317227,7.813075734,3.801562877,4.546317227,7.813075734,4360.799177,2214.823029,0.179533125,0.004915947
8,Matt,B,-6.5528869,46.2535554,51.1137534,0.0918122,32.9388888,31.9335929,0.0918122,32.9388888,31.9335929,1.14129646,26.549515,24.93206722,-4.59512323,33.34883124,36.83940059,-4.59512323,33.34883124,36.83940059,1127.0458,8392.11002,4.80000002,0.109803926,0.19663691,0.194697775,0.215865971,2.531745947,5.100034059,7.11719774,2.531745947,5.100034059,7.11719774,2.512049692,5.283752251,7.164818504,0.593762871,3.224132091,3.393379266,0.593762871,3.224132091,3.393379266,4922.205959,2476.679786,0.103940223,0.005545936
9,Matt,B,-6.1506652,46.3588719,51.2382354,2.6228787,35.4795079,33.826569,3.938918722,22.82115203,19.62358143,4.951583522,16.06077605,12.29348806,5.77413906,15.61839324,12.05873159,5.77413906,15.61839324,12.05873159,510.6459,8158.793087,4.3125,0.090196084,0.240200014,0.239238953,0.210629516,3.444758212,4.189134095,6.648714723,3.38486883,4.65464086,6.751034835,3.343941851,4.46704268,6.443348819,3.31830688,4.505238785,6.454085771,3.31830688,4.505238785,6.454085771,4332.924742,2380.087655,0.267970214,0.005412279
