TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern, TYPE_ACC0_Mean, TYPE_ACC1_Mean, TYPE_ACC2_Mean, TYPE_MAG0_Mean, TYPE_MAG1_Mean, TYPE_MAG2_Mean, TYPE_GYRO0_Mean, TYPE_GYRO1_Mean, TYPE_GYRO2_Mean, TYPE_ROTATION0_Mean, TYPE_ROTATION1_Mean, TYPE_ROTATION2_Mean, TYPE_LINEAR0_Mean, TYPE_LINEAR1_Mean, TYPE_LINEAR2_Mean, TYPE_GRAVITY0_Mean, TYPE_GRAVITY1_Mean, TYPE_GRAVITY2_Mean, velocity_x_Mean, velocity_y_Mean, pressure_Mean, size_Mean, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
17461911,-0.81163025,6.416458,7.63031,-0.81163025,6.416458,7.63031,0.56459045,0.47084045,-0.047927856,0.56459045,0.47084045,-0.047927856,0.56459045,0.47084045,-0.047927856,0.56459045,0.47084045,-0.047927856,263,800,0,0,0.4125,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,Matt,C,-9.45465083,47.7929989,48.7626495,-0.79429623,36.4020993,29.697159,4.25169371,17.33145137,7.779785421,4.25169371,17.33145137,7.779785421,4.25169371,17.33145137,7.779785421,4.25169371,17.33145137,7.779785421,-1836.8545,-3510.82198,5.0125002,0.113725496,0.621625681,0.364360839,0.55518288,3.328847448,4.333049204,7.068392158,3.129648118,4.576966955,6.55168398,3.129648118,4.576966955,6.55168398,3.129648118,4.576966955,6.55168398,3.129648118,4.576966955,6.55168398,4510.106141,1079.857008,0.207378785,0.003528374
17461911,-0.81163025,6.416458,7.63031,-0.81163025,6.416458,7.63031,0.56459045,0.47084045,-0.047927856,0.56459045,0.47084045,-0.047927856,0.56459045,0.47084045,-0.047927856,0.56459045,0.47084045,-0.047927856,263,800,0,0,0.4125,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17462041,-1.3574982,6.79953,7.3238525,7.3028564,-4.5913696,-11.741638,7.3028564,-4.5913696,-11.741638,7.3028564,-4.5913696,-11.741638,7.3028564,-4.5913696,-11.741638,7.3028564,-4.5913696,-11.741638,548.7281,764.60425,6779.6074,-452.55283,0.83750004,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17462158,-0.59614563,6.603195,6.8019257,-0.59614563,6.603195,6.8019257,-0.59614563,6.603195,6.8019257,-0.59614563,6.603195,6.8019257,-0.59614563,6.603195,6.8019257,-0.59614563,6.603195,6.8019257,1049.6294,727.2854,2148.3467,-648.46234,0.83750004,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17462291,-2.1380157,7.1730194,6.5672913,-2.1380157,7.1730194,6.5672913,0.15553284,-0.006393433,0.006393433,0.15553284,-0.006393433,0.006393433,0.15553284,-0.006393433,0.006393433,0.15553284,-0.006393433,0.006393433,1245.1627,393.177,1077.2275,-2800.6616,0.83750004,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17462441,-1.8028259,7.0868225,6.5098267,-1.8028259,7.0868225,6.5098267,-1.8028259,7.0868225,6.5098267,-1.8028259,7.0868225,6.5098267,-1.8028259,7.0868225,6.5098267,-1.8028259,7.0868225,6.5098267,824.60535,183.61212,-6500.9106,-130.14061,0.83750004,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17462508,-1.9369049,7.297516,6.2991333,-1.9369049,7.297516,6.2991333,-1.9369049,7.297516,6.2991333,-1.9369049,7.297516,6.2991333,-1.9369049,7.297516,6.2991333,-1.9369049,7.297516,6.2991333,389.782,207.92554,-5341.1255,520.9954,0.83750004,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",0,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17462617,-1.1324463,7.13472,6.950363,-1.1324463,7.13472,6.950363,-1.1324463,7.13472,6.950363,-1.1324463,7.13472,6.950363,-1.1324463,7.13472,6.950363,-1.1324463,7.13472,6.950363,157.5,253,0,0,0.38750002,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,Matt,C,-10.34289547,56.4743806,56.3977511,-1.76393127,44.4291231,37.4449311,-1.76393127,44.4291231,37.4449311,2.16642757,30.07075512,22.79936209,2.16642757,30.07075512,22.79936209,2.16642757,30.07075512,22.79936209,-917.81026,-3257.610555,5.46250002,0.149019617,0.32394552,0.242635817,0.419645147,3.05709595,4.246671307,6.782641419,3.05709595,4.246671307,6.782641419,2.937297065,4.694939977,6.790716478,2.937297065,4.694939977,6.790716478,2.937297065,4.694939977,6.790716478,3579.233347,1118.189681,0.119324262,0.00405921
17462863,-1.5969238,7.2687836,7.400467,-1.5969238,7.2687836,7.400467,-1.5969238,7.2687836,7.400467,0.36825562,0.08959961,0.077682495,0.36825562,0.08959961,0.077682495,0.36825562,0.08959961,0.077682495,258,706,0,0,0.725,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17462863,-1.5969238,7.2687836,7.400467,-1.5969238,7.2687836,7.400467,-1.5969238,7.2687836,7.400467,0.36825562,0.08959961,0.077682495,0.36825562,0.08959961,0.077682495,0.36825562,0.08959961,0.077682495,258,706,0,0,0.725,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17463009,-1.2090607,6.938385,7.0126038,-1.2090607,6.938385,7.0126038,-1.2090607,6.938385,7.0126038,-1.2090607,6.938385,7.0126038,-1.2090607,6.938385,7.0126038,-1.2090607,6.938385,7.0126038,625.30853,732,5093.7285,-57.688725,0.725,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17463092,-0.79248047,6.6463013,7.424408,-0.79248047,6.6463013,7.424408,-0.79248047,6.6463013,7.424408,-0.79248047,6.6463013,7.424408,-0.79248047,6.6463013,7.424408,-0.79248047,6.6463013,7.424408,1060.0629,720.49414,4262.6445,-470.2581,0.725,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17463276,-1.2761078,7.1059875,6.87854,7.3028564,-4.93927,-12.07428,7.3028564,-4.93927,-12.07428,7.3028564,-4.93927,-12.07428,7.3028564,-4.93927,-12.07428,7.3028564,-4.93927,-12.07428,1162.7192,413.09027,-782.07886,-2995.4194,0.725,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17463393,-1.7262115,7.3118896,6.1602783,-1.7262115,7.3118896,6.1602783,-1.7262115,7.3118896,6.1602783,-1.7262115,7.3118896,6.1602783,-1.7262115,7.3118896,6.1602783,-1.7262115,7.3118896,6.1602783,870.3333,177.63062,-4789.6294,-517.7447,0.725,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17463493,-1.0127411,6.79953,7.170624,-1.0127411,6.79953,7.170624,-1.0127411,6.79953,7.170624,-1.0127411,6.79953,7.170624,-1.0127411,6.79953,7.170624,-1.0127411,6.79953,7.170624,356.0283,239.16193,-4702.475,783.50037,0.725,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",1,Matt,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17463592,-0.96965027,6.9096527,7.328644,-0.96965027,6.9096527,7.328644,-0.96965027,6.9096527,7.328644,-0.96965027,6.9096527,7.328644,-0.96965027,6.9096527,7.328644,-0.96965027,6.9096527,7.328644,189,267,0,0,0.725,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",2,Matt,C,-12.11938467,57.1351776,54.7696996,8.78872633,34.828659,15.2284708,10.85316415,26.87786856,8.952851274,12.77152965,20.03355396,2.201706724,14.34524485,12.86129754,-4.298232236,14.34524485,12.86129754,-4.298232236,-3806.6433,-3370.13522,5.5375,0.133333338,0.431871677,0.301838339,0.523338367,4.922496784,5.098971505,8.843318596,4.775331637,5.165344725,8.666511496,4.65438696,5.047047799,8.343451621,4.539614454,4.759140302,7.988359022,4.539614454,4.759140302,7.988359022,3608.17881,1185.376851,0.013258252,0.001815334
