TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
17214660,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,684,229,0,0,0.4,0.003921569,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,Matt,D,-2.00202636,6.6376801,6.92450564,-2.00202636,6.6376801,6.92450564,-2.00202636,6.6376801,6.92450564,-1.67223815,5.465380904,5.437686158,-1.67223815,5.465380904,5.437686158,-1.67223815,5.465380904,5.437686158,-465.915016,539.34984,0.61,0.0133333342,0.6466253137,0.4315099749,0.5618567659,0.6466253137,0.4315099749,0.5618567659,0.6466253137,0.4315099749,0.5618567659,1.2284577851,2.9665841756,2.9330727884,1.2284577851,2.9665841756,2.9330727884,1.2284577851,2.9665841756,2.9330727884,760.0101093318,2994.0518537855,0.1917028951,0.0090281296
17214660,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,-2.0661926,6.823471,6.7492523,684,229,0,0,0.4,0.003921569,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17214843,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,-1.5346832,6.363785,7.261612,682.45233,558.10516,-792.3901,4591.456,0.75,0.023529414,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,Matt,D,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,_MEAN,,,,,,,,,,,,,,,,,,,,,,
17215010,-1.3383484,6.0429535,7.668625,-1.3383484,6.0429535,7.668625,-1.3383484,6.0429535,7.668625,0.31059265,0.18145752,0.23452759,0.31059265,0.18145752,0.23452759,0.31059265,0.18145752,0.23452759,399.75864,1143.8754,-1659.2368,1739.2292,0.75,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17215227,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,-3.004715,7.13472,6.1937866,210,829.46533,122.05182,-3633.936,0.75,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",0,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17215405,-2.645584,6.708542,6.5289764,-2.645584,6.708542,6.5289764,-2.645584,6.708542,6.5289764,0.33198547,0.231781,0.24508667,0.33198547,0.231781,0.24508667,0.33198547,0.231781,0.24508667,213,630,0,0,0.45000002,0.007843138,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,Matt,D,-2.2992222833,6.7197189167,6.7173258333,0.20889795,4.8622004,3.6890233167,0.20889795,4.8622004,3.6890233167,0.7051595283,3.7827402333,2.6417083617,-1.364074706,4.505386305,4.5787785717,-1.364074706,4.505386305,4.5787785717,-457.9523116667,617.83975,0.6375000033,0.0150326805,0.3396284408,0.1984183421,0.1289730807,5.9546085335,4.5503930659,7.4780977869,5.9546085335,4.5503930659,7.4780977869,5.7909626824,4.7868734322,7.4407511311,1.1803220965,3.4388238941,3.4337752198,1.1803220965,3.4388238941,3.4337752198,864.426431534,2136.8621536425,0.0918558572,0.0045844909
17215648,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,668,287,0,0,0.675,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17215648,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,-2.3103943,6.871353,6.7492523,668,287,0,0,0.675,0.019607844,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17215811,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,-1.9512634,6.79953,6.8210754,668.4415,549.81885,-262.4763,3678.581,0.675,0.015686275,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17215945,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,-1.8794403,6.3398438,6.859375,404.63846,1156.2551,-2201.1047,2421.3943,0.675,0.011764707,"[Point(1, 0), Point(1, 1), Point(0, 2), Point(0, 1)]",1,Matt,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
