 Counter,Name,Pattern, TYPE_ACC0_MEAN, TYPE_ACC1_MEAN, TYPE_ACC2_MEAN, TYPE_MAG0_MEAN, TYPE_MAG1_MEAN, TYPE_MAG2_MEAN, TYPE_GYRO0_MEAN, TYPE_GYRO1_MEAN, TYPE_GYRO2_MEAN, TYPE_ROTATION0_MEAN, TYPE_ROTATION1_MEAN, TYPE_ROTATION2_MEAN, TYPE_LINEAR0_MEAN, TYPE_LINEAR1_MEAN, TYPE_LINEAR2_MEAN, TYPE_GRAVITY0_MEAN, TYPE_GRAVITY1_MEAN, TYPE_GRAVITY2_MEAN, velocity_x_MEAN, velocity_y_MEAN, pressure_MEAN, size_MEAN, TYPE_ACC0_SD, TYPE_ACC1_SD, TYPE_ACC2_SD, TYPE_MAG0_SD, TYPE_MAG1_SD, TYPE_MAG2_SD, TYPE_GYRO0_SD, TYPE_GYRO1_SD, TYPE_GYRO2_SD, TYPE_ROTATION0_SD, TYPE_ROTATION1_SD, TYPE_ROTATION2_SD, TYPE_LINEAR0_SD, TYPE_LINEAR1_SD, TYPE_LINEAR2_SD, TYPE_GRAVITY0_SD, TYPE_GRAVITY1_SD, TYPE_GRAVITY2_SD, velocity_x_SD, velocity_y_SD, pressure_SD, size_SD
0,Matt,D,-2.00202636,6.6376801,6.92450564,-2.00202636,6.6376801,6.92450564,-2.00202636,6.6376801,6.92450564,-1.67223815,5.465380904,5.437686158,-1.67223815,5.465380904,5.437686158,-1.67223815,5.465380904,5.437686158,-465.915016,539.34984,0.61,0.0133333342,0.6466253137,0.4315099749,0.5618567659,0.6466253137,0.4315099749,0.5618567659,0.6466253137,0.4315099749,0.5618567659,1.2284577851,2.9665841756,2.9330727884,1.2284577851,2.9665841756,2.9330727884,1.2284577851,2.9665841756,2.9330727884,760.0101093318,2994.0518537855,0.1917028951,0.0090281296
1,Matt,D,-2.2992222833,6.7197189167,6.7173258333,0.20889795,4.8622004,3.6890233167,0.20889795,4.8622004,3.6890233167,0.7051595283,3.7827402333,2.6417083617,-1.364074706,4.505386305,4.5787785717,-1.364074706,4.505386305,4.5787785717,-457.9523116667,617.83975,0.6375000033,0.0150326805,0.3396284408,0.1984183421,0.1289730807,5.9546085335,4.5503930659,7.4780977869,5.9546085335,4.5503930659,7.4780977869,5.7909626824,4.7868734322,7.4407511311,1.1803220965,3.4388238941,3.4337752198,1.1803220965,3.4388238941,3.4337752198,864.426431534,2136.8621536425,0.0918558572,0.0045844909
2,Matt,D,-2.5609894167,6.9048716333,6.7580236333,2.2775624833,3.4044774167,0.1050695333,2.2775624833,3.4044774167,0.1050695333,2.2775624833,3.4044774167,0.1050695333,3.05822247,1.1964492733,-2.1748275547,0.2660700367,3.3785781733,0.988037112,-531.2816733333,432.1200333333,0.75,0.0183006548,0.4079972636,0.3722066869,0.4209191923,7.8235823215,5.8850811036,10.0201707862,7.8235823215,5.8850811036,10.0201707862,7.8235823215,5.8850811036,10.0201707862,7.3325348475,5.2017524034,8.7405128404,5.1591874997,4.13738334,7.5804095158,660.5836536214,2794.0439078998,0.1837117307,0.0059040998
3,Matt,D,-2.5466257833,6.7029622167,6.86177575,0.4846801333,4.9882608833,3.6718495833,0.4846801333,4.9882608833,3.6718495833,-1.0863978383,3.4722518917,3.6023712133,-0.298105885,1.228586835,1.3599522967,-0.298105885,1.228586835,1.3599522967,-474.1718955398,625.3975333333,0.6520833333,0.0156862753,0.2113133737,0.2654275601,0.137610716,7.2629618561,4.1893597472,7.7145797612,7.2629618561,4.1893597472,7.7145797612,1.5233103766,3.5201291704,3.568851952,0.988640363,2.4644322996,2.7576955256,0.988640363,2.4644322996,2.7576955256,1161.4887117252,2805.4279306408,0.0867527617,0.004960436
4,Matt,D,-2.56737265,6.6016031167,6.9663238667,-2.56737265,6.6016031167,6.9663238667,-2.56737265,6.6016031167,6.9663238667,-1.6311137167,4.51892082,4.73259483,-1.2233251267,3.41863753,3.59487408,-1.2233251267,3.41863753,3.59487408,-474.4626513573,539.9454666667,0.5833333333,0.0176470597,0.2723875378,0.261791337,0.282191394,0.2723875378,0.261791337,0.282191394,0.2723875378,0.261791337,0.282191394,1.4989322161,3.295962644,3.3710551172,1.438373812,3.4075853924,3.6050418317,1.438373812,3.4075853924,3.6050418317,857.5074926436,2232.1985734142,0.0510310363,0.0048029211
5,Matt,D,-2.4827804333,6.7668076,6.8334452667,0.2538045667,5.0558344667,3.7245381833,0.2538045667,5.0558344667,3.7245381833,0.2538045667,5.0558344667,3.7245381833,0.2538045667,5.0558344667,3.7245381833,0.2538045667,5.0558344667,3.7245381833,-499.5039166667,443.1816666667,0.5833333667,0.0163398698,0.2873567726,0.3331494755,0.3456085979,6.7839800669,4.3108370476,7.5016152277,6.7839800669,4.3108370476,7.5016152277,6.7839800669,4.3108370476,7.5016152277,6.7839800669,4.3108370476,7.5016152277,6.7839800669,4.3108370476,7.5016152277,912.390540413,2438.0146352091,0.0102062236,0.0016009738
6,Matt,D,-1.9321111167,6.35898845,7.3262480667,2.79871875,3.2485096833,0.87129215,0.82741548,3.8088709133,2.769544,0.82741548,3.8088709133,2.769544,0.82741548,3.8088709133,2.769544,0.82741548,3.8088709133,2.769544,-437.67466,648.8372833333,0.5125000133,0.0111111117,0.2620641841,0.2932288424,0.2261801778,7.1338047527,4.7640728356,10.1676002215,5.6847167901,3.8998173098,8.264556094,5.6847167901,3.8998173098,8.264556094,5.6847167901,3.8998173098,8.264556094,5.6847167901,3.8998173098,8.264556094,838.5189633166,2432.5247971824,0.1455592601,0.0052123927
7,Matt,D,-2.0350646833,6.4523646667,7.1251348833,0.6786523833,4.4057312333,3.9084296333,0.9896544783,3.3273849627,2.7279308827,0.9896544783,3.3273849627,2.7279308827,1.2962086383,2.2784525627,1.5125734277,1.2962086383,2.2784525627,1.5125734277,-465.8245366667,504.3634,0.50833334,0.013071896,0.3257896733,0.2791072756,0.1996977658,6.4032453369,4.8384749285,7.9145756826,6.2915151481,4.9774570375,7.853974569,6.2915151481,4.9774570375,7.853974569,6.1838877155,4.9720387214,7.5272799669,6.1838877155,4.9720387214,7.5272799669,1099.8573691431,2167.5057992743,0.2064077633,0.0047492555
8,Matt,D,-2.1723353,6.6063943667,6.8274587,-2.1723353,6.6063943667,6.8274587,-2.1723353,6.6063943667,6.8274587,-2.1723353,6.6063943667,6.8274587,-1.4595616467,4.359090116,4.5632018933,-1.4595616467,4.359090116,4.5632018933,-454.19984,475.4205833333,0.55625,0.0117647065,0.2192528705,0.2247952702,0.3080342914,0.2192528705,0.2247952702,0.3080342914,0.2192528705,0.2247952702,0.3080342914,0.2192528705,0.2247952702,0.3080342914,1.0275085391,3.4240014631,3.6548380453,1.0275085391,3.4240014631,3.6548380453,825.879901075,2263.084822271,0.2100223202,0.0060752681
9,Matt,D,-2.27448275,6.7181218667,6.8721492,0.0828018167,4.8967895333,3.6568705333,0.5539957783,3.7084579275,2.5590871218,0.5539957783,3.7084579275,2.5590871218,-1.4523925883,4.4397557675,4.6081644768,-1.4523925883,4.4397557675,4.6081644768,-643.2400494477,469.2956,0.6,0.0130718963,0.3020548953,0.303915252,0.2781822112,6.0128681801,4.7353823154,7.6261339061,5.8611055877,4.9690666273,7.5936747162,5.8611055877,4.9690666273,7.5936747162,1.3046886676,3.6094250433,3.4220420646,1.3046886676,3.6094250433,3.4220420646,1096.3151827638,2300.7035116646,0.2229069313,0.0064038952
