TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
17461911, -0.81163025, 6.416458, 7.63031, -0.81163025, 6.416458, 7.63031, 0.56459045, 0.47084045, -0.047927856, 0.56459045, 0.47084045, -0.047927856, 0.56459045, 0.47084045, -0.047927856, 0.56459045, 0.47084045, -0.047927856, 263.0, 800.0, 0.0, 0.0, 0.4125, 0.011764707, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 0
17461911, -0.81163025, 6.416458, 7.63031, -0.81163025, 6.416458, 7.63031, 0.56459045, 0.47084045, -0.047927856, 0.56459045, 0.47084045, -0.047927856, 0.56459045, 0.47084045, -0.047927856, 0.56459045, 0.47084045, -0.047927856, 263.0, 800.0, 0.0, 0.0, 0.4125, 0.011764707, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 0
17462041, -1.3574982, 6.79953, 7.3238525, 7.3028564, -4.5913696, -11.741638, 7.3028564, -4.5913696, -11.741638, 7.3028564, -4.5913696, -11.741638, 7.3028564, -4.5913696, -11.741638, 7.3028564, -4.5913696, -11.741638, 548.7281, 764.60425, 6779.6074, -452.55283, 0.83750004, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 0
17462158, -0.59614563, 6.603195, 6.8019257, -0.59614563, 6.603195, 6.8019257, -0.59614563, 6.603195, 6.8019257, -0.59614563, 6.603195, 6.8019257, -0.59614563, 6.603195, 6.8019257, -0.59614563, 6.603195, 6.8019257, 1049.6294, 727.2854, 2148.3467, -648.46234, 0.83750004, 0.019607844, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 0
17462291, -2.1380157, 7.1730194, 6.5672913, -2.1380157, 7.1730194, 6.5672913, 0.15553284, -0.0063934326, 0.0063934326, 0.15553284, -0.0063934326, 0.0063934326, 0.15553284, -0.0063934326, 0.0063934326, 0.15553284, -0.0063934326, 0.0063934326, 1245.1627, 393.177, 1077.2275, -2800.6616, 0.83750004, 0.019607844, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 0
17462441, -1.8028259, 7.0868225, 6.5098267, -1.8028259, 7.0868225, 6.5098267, -1.8028259, 7.0868225, 6.5098267, -1.8028259, 7.0868225, 6.5098267, -1.8028259, 7.0868225, 6.5098267, -1.8028259, 7.0868225, 6.5098267, 824.60535, 183.61212, -6500.9106, -130.14061, 0.83750004, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 0
17462508, -1.9369049, 7.297516, 6.2991333, -1.9369049, 7.297516, 6.2991333, -1.9369049, 7.297516, 6.2991333, -1.9369049, 7.297516, 6.2991333, -1.9369049, 7.297516, 6.2991333, -1.9369049, 7.297516, 6.2991333, 389.782, 207.92554, -5341.1255, 520.9954, 0.83750004, 0.019607844, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 0

17462617, -1.1324463, 7.13472, 6.950363, -1.1324463, 7.13472, 6.950363, -1.1324463, 7.13472, 6.950363, -1.1324463, 7.13472, 6.950363, -1.1324463, 7.13472, 6.950363, -1.1324463, 7.13472, 6.950363, 157.5, 253.0, 0.0, 0.0, 0.38750002, 0.011764707, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 1
17462863, -1.5969238, 7.2687836, 7.400467, -1.5969238, 7.2687836, 7.400467, -1.5969238, 7.2687836, 7.400467, 0.36825562, 0.08959961, 0.077682495, 0.36825562, 0.08959961, 0.077682495, 0.36825562, 0.08959961, 0.077682495, 258.0, 706.0, 0.0, 0.0, 0.725, 0.023529414, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 1
17462863, -1.5969238, 7.2687836, 7.400467, -1.5969238, 7.2687836, 7.400467, -1.5969238, 7.2687836, 7.400467, 0.36825562, 0.08959961, 0.077682495, 0.36825562, 0.08959961, 0.077682495, 0.36825562, 0.08959961, 0.077682495, 258.0, 706.0, 0.0, 0.0, 0.725, 0.023529414, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 1
17463009, -1.2090607, 6.938385, 7.0126038, -1.2090607, 6.938385, 7.0126038, -1.2090607, 6.938385, 7.0126038, -1.2090607, 6.938385, 7.0126038, -1.2090607, 6.938385, 7.0126038, -1.2090607, 6.938385, 7.0126038, 625.30853, 732.0, 5093.7285, -57.688725, 0.725, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 1
17463092, -0.79248047, 6.6463013, 7.424408, -0.79248047, 6.6463013, 7.424408, -0.79248047, 6.6463013, 7.424408, -0.79248047, 6.6463013, 7.424408, -0.79248047, 6.6463013, 7.424408, -0.79248047, 6.6463013, 7.424408, 1060.0629, 720.49414, 4262.6445, -470.2581, 0.725, 0.015686275, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 1
17463276, -1.2761078, 7.1059875, 6.87854, 7.3028564, -4.93927, -12.07428, 7.3028564, -4.93927, -12.07428, 7.3028564, -4.93927, -12.07428, 7.3028564, -4.93927, -12.07428, 7.3028564, -4.93927, -12.07428, 1162.7192, 413.09027, -782.07886, -2995.4194, 0.725, 0.019607844, "[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]", 1
